"ProductCode","ProductDescription"
"Adeline-Patio-Set","The Adeline outdoor conversation set includes two egg-shaped swivel chairs and a matching side table. All-weather resin wicker, powder-coated aluminum framing, and solution-dyed cushion covers create a durable patio grouping for porches, patios, and covered outdoor spaces."
"Burlington-Dining-Set","The Burlington 52-inch Round Table in mocha forms a centerpiece that marries elegance with style. The table features a sturdy circular base with ample clearance for chairs, a polygonal circle design, and a striking black accent on the apron and base that elevates the cocoa finish. Open-back side chairs feature tapered solid wood legs, shaped upholstered backs, and durable polyester upholstery for everyday dining comfort."
"Canova-Dining-Set","A charming 52-inch round Canova table combines a refined gray marble top with natural white veining and a white timber-beam trestle base. Six upholstered side chairs complete this casually elegant set for farmhouse, cottage, ranch, or transitional dining rooms."
"Delilah-Patio-Chairs","Neutral contemporary style for the outdoors with beveled side panels, rust-resistant aluminum frames, solution-dyed acrylic fabric, and fast-drying outdoor foam cushions. Dalilah patio chairs offer a sculptural modern alternative to basic patio seating."
"Fitzgerald-Coffee-Table","The Fitzgerald Coffee Table gives a living room a practical center surface with a coordinated occasional-table look for drinks, books, trays, and decor. Pair with the matching Fitzgerald End Table."
"Fitzgerald-End-Table","The Fitzgerald End Table gives a seating area a compact surface for lighting, remotes, drinks, or decorative accents beside a sofa or chair, and coordinates with the Fitzgerald Coffee Table."
"Fortuna-Loveseat","Fortuna power reclining loveseat with top-grain leather seating areas, power headrest and footrest controls, USB charging, high-resiliency foam, and a center console with storage and cupholders."
"Fortuna-Recliner","Fortuna power recliner with top-grain leather seating areas, power headrest and footrest controls, USB charging, high-resiliency foam, and a home button to return the seat to its original position."
"Garcia-Bar","The Garcia Bar Unit adds a polished entertainment piece with ebony accents and sleek silver-tone details. Designed for serving, storage, and display in dining rooms, game rooms, or media spaces."
"Grayson-Dining-Set","Rustic charm meets modern elegance in the Grayson gray marble-top counter dining set. The 60-inch counter storage table anchors the group with a gray marble veneer top, dusty honey finish, and concealed storage in the base, paired with counter chairs and a counter bench for everyday dining."
"Karina-Sideboard","The Karina Server brings refined dining-room storage with a marble-style top, glass-front doors, glass shelving, and interior lighting. The clean finish and illuminated display area make it useful for serving, storage, or showcasing decorative pieces."
"Laurel Grey Leather Sofa","Contemporary styled collection constructed in leather with power leg rest and power articulating headrest. Laurel features both styling and convenience with USB charging port on the control panel along with a home button to return the piece to its original position. The grey sofa and loveseat feature dual reclining seats and the loveseat feature a console with cup holders and hidden storage."
"Laurel Ivory Leather Sofa","Contemporary styled collection constructed in leather with power leg rest and power articulating headrest. Laurel features both styling and convenience with USB charging port on the control panel along with a home button to return the piece to its original position. The ivory loveseat feature dual reclining seats and a console with cup holders and hidden storage."
"Laurel-Sofa-Loveseat","Contemporary Laurel motion loveseat constructed with top-grain leather seating areas, power leg rest, power articulating headrest, USB charging, and a center console with cupholders and hidden storage."
"Lavon Black Leatherette sofa","This sporty Reclining Set boasts power footrest and power headrest in a package that is the most comfortable you will find anywhere. Horizontal channeled back and extra padding on the Headrest and Armrest add plush comfort to this special set. Each arm features a lift-top armrest for hidden storage that offers a great storing place for remotes and electronic devices. Never lose your phone again with this handy cubby nearby. The sleek midnight color leatherette is easy care and the neutral palette ensures it will match any decor. The Sofa features a Drop-down center console offers space for two more cupholders and  power strip with two electrical outlets and two USB ports so your devices never run out of power while the Loveseat sports a Center Console with hidden storage and two additions cupholders."
"Level-Sofa","The Lovell Sofa offers approachable everyday comfort with a clean profile for versatile living room seating as a standalone sofa or coordinated group anchor."
"Molly-Olson-Dining-Set","The Molly 48-inch round dining set pairs a glass tabletop with sleek upholstered chairs for a clean mid-century inspired look. Iron legs and warm wood-tone base details add visual interest without overwhelming the room."
"Natalia Mocha Leather Sofa","Decadent seating comfort awaits you in Natalia, the top-grain leather seating motion set from Steve Silver Company. This collection features contemporary style and is available in fashion-forward colors that are sure to impress. But this collection is about more than style with power articulating headrest, power footrest and USB charging station so you never have to leave your seat."
"Natalia-Sofa-Loveseat","Decadent Natalia motion loveseat with top-grain leather seating areas, power articulating headrest, power footrest, USB charging, and high-resiliency foam in a warm coach/caramel leather tone."
"Park-City-Sectional","Park City modular dual-power reclining sectional with adjustable headrests and footrests, wide seating, USB controls, and gray herringbone-style stain-resistant fabric for media rooms and family rooms."
"Ramona-Dining-Set","Ramona brings mid-century modern mixed-material style to the dining room with a 44-inch round white marble top, architecturally shaped dark bronze metal base, and ergonomically shaped faux rawhide chairs that work beautifully for dining or guest seating."
"SS-2968479","Gatlin Dual Power Reclining by Steve Silver. Dimensions: 44 inW x 41 inD x 40 inH Features: Dual-Power Recline: Independent headrest and footrest controls for personalized comfort; Kiln-dried hardwood frame with reinforced support; high-density foam; and 350 lb. capacity per seat.; Low-pile 100% polyester light tan fabric with contrasting vinyl welt is plush and velvety to the touch; USB-A/USB-C charging on outer arms and inside storage console; Wall-saver zero-gravity recline needs only 3 in of wall clearane; Lift-top storage on Loveseat has stainless steel cupholders; USB-A/USB-C chargers and power; Modular Seating Flexibility: Mix-and-match pieces to build anything from a sectional to a sofa or."
"SS-2968622","Olsen Dual Power Reclining by Steve Silver. Dimensions: 44 inW x 41 inD x 40 inH Features: Dual-Power Recline: Independent headrest and footrest controls for personalized comfort; Kiln-dried hardwood frame with reinforced support; high-density foam; and 350 lb. capacity per seat.; Cool; neutral polyester in silver with a soft velvety feel; USB-A/USB-C charging on outer arms and inside storage console; Wall-saver zero-gravity recline needs only 3 in of wall clearane; Lift-top storage on Loveset with stainless steel cupholders; USB-A/USB-C chargers and power outlets.; Modular Seating Flexibility: Mix-and-match pieces to build anything from a sectional to a sofa or."
"SS-3105415","Gatlin Dual Power Reclining by Steve Silver. Dimensions: 44 inW x 41 inD x 40 inH Features: Dual-Power Recline: Independent headrest and footrest controls for personalized comfort; Kiln-dried hardwood frame with reinforced support; high-density foam; and 350 lb. capacity per seat.; 100% polyester chocolate fabric is plush and velvety to the touch; USB-A/USB-C charging on outer arms and inside storage console; Wall-saver zero-gravity recline needs only 3 in of wall clearane; Lift-top storage on Loveseat has stainless steel cupholders; USB-A/USB-C chargers and power; Modular Seating Flexibility: Mix-and-match pieces to build anything from a sectional to a sofa or."
"SS-3PC-LOVESE","Stone Loveseat w/ Console by Steve Silver. Dimensions: 80 inW x 39.5 inD x 41 inH Features: Crafted from Stone colored top-grain leather with vegan leather backs and; The power mechanism offers effortless 143 degree recline for customized leg; Integrated USB port for charging your smartphone or tablet.; The 7-inch high cushions are built with fire resistant; 1.9 density high-resiliency; The engineered wood frame provides lasting comfort; support and reliability; Lift-Top Console with two built-in USB ports and two removeable cupholders."
