volusion_code,collection,finish,size,product_name,steve_silver_sku,steve_silver_url,description,techspecs,related_pieces,image_main,image_thumbnail,image_source_url
SS-BC900KFB,Bear Creek,White Smoke / Honey Smoke,King,Bear Creek King Bed,BC900-KBED,https://stevesilver.com/product/bear-creek-3-piece-king-bed/,"A rustic, farmhouse-inspired bed, Bear Creek features a white-smoke finish that contrasts beautifully with honey-smoke stained tops and cap rails. The chevron patterned headboard and footboard is offered in King and Queen sizes and the bedroom collection offers a variety of storage items with ultra-deep drawers supported by side drawer glides for easy operation.","A rustic, farmhouse-inspired bed, Bear Creek features a white-smoke finish that contrasts beautifully with honey-smoke stained tops and cap rails. The chevron patterned headboard and footboard is offered in King and Queen sizes and the bedroom collection offers a variety of storage items with ultra-deep drawers supported by side drawer glides for easy operation.

Features:
• Beds available in King or Queen sizes
• Styling details include chevron patterned headboard and footboard with planked-effect drawer fronts and antiqued pewter finish hardware.
• Available Nightstand, Dresser and Chest feature deep, double-stacked drawers for functional storage of clothing or other bulky items.
• White-smoke finish with honey-smoke accent tops and cap rails","SS-BC900NS, SS-BC900DR, SS-BC900CTT, SS-BC900MR",catalog/steve-silver-beds/images/SS-BC900KFB-1.jpg,catalog/steve-silver-beds/images/SS-BC900KFB-1T.jpg,https://stevesilver.com/wp-content/uploads/2020/01/SteveSilverFurniture_BearCreek_BC900KHB_BC900KFB_BC900CKR_DTL21.jpg
SS-BC900QFB,Bear Creek,White Smoke / Honey Smoke,Queen,Bear Creek Queen Bed,BC900-QBED,https://stevesilver.com/product/bear-creek-3-piece-queen-bed/,"A rustic, farmhouse-inspired bed, Bear Creek features a white-smoke finish that contrasts beautifully with honey-smoke stained tops and cap rails. The chevron patterned headboard and footboard is offered in King and Queen sizes and the bedroom collection offers a variety of storage items with ultra-deep drawers supported by side drawer glides for easy operation.","A rustic, farmhouse-inspired bed, Bear Creek features a white-smoke finish that contrasts beautifully with honey-smoke stained tops and cap rails. The chevron patterned headboard and footboard is offered in King and Queen sizes and the bedroom collection offers a variety of storage items with ultra-deep drawers supported by side drawer glides for easy operation.

Features:
• Beds available in King or Queen sizes
• Styling details include chevron patterned headboard and footboard with planked-effect drawer fronts and antiqued pewter finish hardware.
• Available Nightstand, Dresser and Chest feature deep, double-stacked drawers for functional storage of clothing or other bulky items.
• White-smoke finish with honey-smoke accent tops and cap rails","SS-BC900NS, SS-BC900DR, SS-BC900CTT, SS-BC900MR",catalog/steve-silver-beds/images/SS-BC900QFB-1.jpg,catalog/steve-silver-beds/images/SS-BC900QFB-1T.jpg,https://stevesilver.com/wp-content/uploads/2020/01/BearCreek_BC900QHB_DTL1.jpg
SS-BC950KFB,Bear Creek,Brown,King,"Bear Creek King Bed, Brown",BC950-KBED,https://stevesilver.com/product/bear-creek-king-bed-brown/,"A rustic, farmhouse-inspired bed, Bear Creek features a chocolate finish that contrasts beautifully with honey-smoke stained tops and cap rails. The chevron patterned headboard and footboard is offered in King and Queen sizes and the bedroom collection offers a variety of storage items with ultra-deep drawers supported by side drawer glides for easy operation.","A rustic, farmhouse-inspired bed, Bear Creek features a chocolate finish that contrasts beautifully with honey-smoke stained tops and cap rails. The chevron patterned headboard and footboard is offered in King and Queen sizes and the bedroom collection offers a variety of storage items with ultra-deep drawers supported by side drawer glides for easy operation.

Features:
• Beds available in King or Queen sizes
• Styling details include chevron patterned headboard and footboard with planked-effect drawer fronts and antiqued pewter finish hardware.
• Available Nightstand, Dresser and Chest feature deep, double-stacked drawers for functional storage of clothing or other bulky items.
• Chocolate finish with honey-smoke accent tops and cap rails","SS-BC950NSB, SS-BC950DRB, SS-BC950CTBT, SS-BC950MRB",catalog/steve-silver-beds/images/SS-BC950KFB-1.jpg,catalog/steve-silver-beds/images/SS-BC950KFB-1T.jpg,https://stevesilver.com/wp-content/uploads/2020/03/Bear_Creek_BC950_-KFBB_KHBB_SRB_VG1.jpg
SS-BC950QFB,Bear Creek,Brown,Queen,"Bear Creek Queen Bed, Brown",BC950-QBED,https://stevesilver.com/product/bear-creek-queen-bed/,"A rustic, farmhouse-inspired bed, Bear Creek features a chocolate finish that contrasts beautifully with honey-smoke stained tops and cap rails. The chevron patterned headboard and footboard is offered in King and Queen sizes and the bedroom collection offers a variety of storage items with ultra-deep drawers supported by side drawer glides for easy operation.","A rustic, farmhouse-inspired bed, Bear Creek features a chocolate finish that contrasts beautifully with honey-smoke stained tops and cap rails. The chevron patterned headboard and footboard is offered in King and Queen sizes and the bedroom collection offers a variety of storage items with ultra-deep drawers supported by side drawer glides for easy operation.

Features:
• Beds available in King or Queen sizes
• Styling details include chevron patterned headboard and footboard with planked-effect drawer fronts and antiqued pewter finish hardware.
• Available Nightstand, Dresser and Chest feature deep, double-stacked drawers for functional storage of clothing or other bulky items.
• Chocolate finish with honey-smoke accent tops and cap rails","SS-BC950NSB, SS-BC950DRB, SS-BC950CTBT, SS-BC950MRB",catalog/steve-silver-beds/images/SS-BC950QFB-1.jpg,catalog/steve-silver-beds/images/SS-BC950QFB-1T.jpg,https://stevesilver.com/wp-content/uploads/2020/03/Bear_Creek_BC950_-KFBB_KHBB_SRB_VG1.jpg
SS-CAS900KFB,Cassie Illuminating,Shimmering Pearl,King,"Cassie Illuminating King Bed, Shimmering Pearl Finish",CAS900-KBED,https://stevesilver.com/product/cassie-illuminating-king-bed/,"The Cassie King Bed transforms your bedroom into a haven of glam chic. Its shimmering pearl finish is accentuated by crystal inlaid borders at the top and bottom, adding a radiant touch. The headboard features an illuminating border that, with the flip of a switch, creates a captivating ambiance and doubles as a practical reading light. Beyond its stunning appearance, the bed is equipped with built-in USB/USB-C chargers on each side, offering convenient organization and charging for your electronics.","The Cassie King Bed transforms your bedroom into a haven of glam chic. Its shimmering pearl finish is accentuated by crystal inlaid borders at the top and bottom, adding a radiant touch. The headboard features an illuminating border that, with the flip of a switch, creates a captivating ambiance and doubles as a practical reading light. Beyond its stunning appearance, the bed is equipped with built-in USB/USB-C chargers on each side, offering convenient organization and charging for your electronics.

Features:
• Crafted from engineered woods and Asian hardwood solids
• The headboard and footboard are accented with crystal in-laid borders tjhat sparkle with glam elegance. The headboard illuminates with a warm glow at the flip of a switch, creating an enchanting and inviting atmosphere.
• USB and USB-C charging ports on each side of the headboard offer convenient and accessible device charging
• The crystal in-laid border sparkles with glam elegance, illuminating with a warm glow at the flip of a switch, creating an enchanting and inviting atmosphere.
• The 5-slat support system with dual center supports ensures superior stability, preventing sagging and extending mattress life.
• The King Bed is bathed in a shimmering pearl finish, creating a stunning accent that elevates the beauty of any room
• The channeled two-tone cushioned fabric headboard from 100% polyester softens a room’s décor
• Product Measurements: 82″W x 65″D x 51″H","SS-CAS900NS, SS-CAS900DR, SS-CAS900C, SS-CAS900M",catalog/steve-silver-beds/images/SS-CAS900KFB-1.jpg,catalog/steve-silver-beds/images/SS-CAS900KFB-1T.jpg,https://stevesilver.com/wp-content/uploads/2024/09/Cassie_CAS900-KBED_WS1_copy.jpg
SS-CAS900QFB,Cassie Illuminating,Shimmering Pearl,Queen,"Cassie Illuminating Queen Bed, Shimmering Pearl Finish",CAS900-QBED,https://stevesilver.com/product/cassie-illuminating-queen-bed/,"The Cassie Queen Bed transforms your bedroom into a haven of glam chic. Its shimmering pearl finish is accentuated by crystal inlaid borders at the top and bottom, adding a radiant touch. The headboard features an illuminating border that, with the flip of a switch, creates a captivating ambiance and doubles as a practical reading light. Beyond its stunning appearance, the bed is equipped with built-in USB/USB-C chargers on each side, offering convenient organization and charging for your electronics. CASSIE KING 4 PIECE BEDROOM SET","The Cassie Queen Bed transforms your bedroom into a haven of glam chic. Its shimmering pearl finish is accentuated by crystal inlaid borders at the top and bottom, adding a radiant touch. The headboard features an illuminating border that, with the flip of a switch, creates a captivating ambiance and doubles as a practical reading light. Beyond its stunning appearance, the bed is equipped with built-in USB/USB-C chargers on each side, offering convenient organization and charging for your electronics. CASSIE KING 4 PIECE BEDROOM SET

Features:
• Crafted from engineered woods and Asian hardwood solids
• The headboard and footboard are accented with crystal in-laid borders tjhat sparkle with glam elegance. The headboard illuminates with a warm glow at the flip of a switch, creating an enchanting and inviting atmosphere.
• USB and USB-C charging ports on each side of the headboard offer convenient and accessible device charging
• The crystal in-laid border sparkles with glam elegance, illuminating with a warm glow at the flip of a switch, creating an enchanting and inviting atmosphere.
• The 5-slat support system with dual center supports ensures superior stability, preventing sagging and extending mattress life.
• The Queen Bed is bathed in a shimmering pearl finish, creating a stunning accent that elevates the beauty of any room
• The channeled two-tone cushioned fabric headboard from 100% polyester softens a room’s décor
• Product Measurements: 63.25″W x 88″D x 51″H","SS-CAS900NS, SS-CAS900DR, SS-CAS900C, SS-CAS900M",catalog/steve-silver-beds/images/SS-CAS900QFB-1.jpg,catalog/steve-silver-beds/images/SS-CAS900QFB-1T.jpg,https://stevesilver.com/wp-content/uploads/2024/09/CAS900-QBED_WS2_copy.jpg
SS-HP900KFBW,Highland Park,Cathedral White,King,"Highland Park King Bed, Cathedral White",HP900KBW,https://stevesilver.com/product/highland-park-3-piece-king-bed-cathedral-white/,"Get the finest in romantic, vintage styling with Highland Park by Steve Silver Company. This bedroom collection features a multi-step, distressed Cathedral White finish that evokes the feeling of time-worn antiques with all the amenities today designs offer (like USB chargers in the nightstand). Refresh your bedroom with the nostalgia of Highland Park.","Get the finest in romantic, vintage styling with Highland Park by Steve Silver Company. This bedroom collection features a multi-step, distressed Cathedral White finish that evokes the feeling of time-worn antiques with all the amenities today designs offer (like USB chargers in the nightstand). Refresh your bedroom with the nostalgia of Highland Park.

Features:
• Constructed of hardwood solids and veneers in a multi-step cathedral white finish
• Styling details include vintage finish, framed button-tufted headboard, framed door fronts and pewter finish hardware
• Storage pieces include dresser, chest, and vanity","SS-HP900NSW, SS-HP900CTWT, SS-HP900MRW",catalog/steve-silver-beds/images/SS-HP900KFBW-1.jpg,catalog/steve-silver-beds/images/SS-HP900KFBW-1T.jpg,https://stevesilver.com/wp-content/uploads/2019/08/HP900QFBW.jpg
SS-HP900QFBW,Highland Park,Cathedral White,Queen,"Highland Park Queen Bed, Cathedral White",HP900QBW,https://stevesilver.com/product/highland-park-3-piece-queen-bed-cathedral-white/,"Get the finest in romantic, vintage styling with Highland Park by Steve Silver Company. This bedroom collection features a multi-step, distressed Cathedral White finish that evokes the feeling of time-worn antiques with all the amenities today designs offer (like USB chargers in the nightstand). Refresh your bedroom with the nostalgia of Highland Park.","Get the finest in romantic, vintage styling with Highland Park by Steve Silver Company. This bedroom collection features a multi-step, distressed Cathedral White finish that evokes the feeling of time-worn antiques with all the amenities today designs offer (like USB chargers in the nightstand). Refresh your bedroom with the nostalgia of Highland Park.

Features:
• Constructed of hardwood solids and veneers in a multi-step cathedral white finish
• Styling details include vintage finish, framed button-tufted headboard, framed door fronts and pewter finish hardware
• Storage pieces include dresser, chest, and vanity","SS-HP900NSW, SS-HP900CTWT, SS-HP900MRW",catalog/steve-silver-beds/images/SS-HP900QFBW-1.jpg,catalog/steve-silver-beds/images/SS-HP900QFBW-1T.jpg,https://stevesilver.com/wp-content/uploads/2019/08/HP900QFBW.jpg
SS-HP900KFBD,Highland Park,Waxed Driftwood,King,"Highland Park King Bed, Waxed Driftwood",HP900KBD,https://stevesilver.com/product/highland-park-3-piece-king-bed-waxed-driftwood/,"Get the finest in romantic, vintage styling with Highland Park by Steve Silver Company. This bedroom collection features a multi-step, distressed waxed driftwood finish that evokes the feeling of time-worn antiques with all the amenities today designs offer (like USB chargers in the nightstand). Refresh your bedroom with the nostalgia of Highland Park.","Get the finest in romantic, vintage styling with Highland Park by Steve Silver Company. This bedroom collection features a multi-step, distressed waxed driftwood finish that evokes the feeling of time-worn antiques with all the amenities today designs offer (like USB chargers in the nightstand). Refresh your bedroom with the nostalgia of Highland Park.

Features:
• Constructed of hardwood solids and veneers
• Styling details include vintage finish, framed button-tufted headboard, framed door fronts and pewter finish hardware
• Storage pieces include dresser, chest, and vanity
• Multi-step waxed driftwood finish","SS-HP900NSD, SS-HP900CTDT, SS-HP900MRD",catalog/steve-silver-beds/images/SS-HP900KFBD-1.jpg,catalog/steve-silver-beds/images/SS-HP900KFBD-1T.jpg,https://stevesilver.com/wp-content/uploads/2020/01/SteveSilverFurniture_HighlandPark_HP900KHB_HP900KFB_VG1.jpg
SS-HP900QFBD,Highland Park,Waxed Driftwood,Queen,"Highland Park Queen Bed, Waxed Driftwood",HP900QBD,https://stevesilver.com/product/highland-park-3-piece-queen-bed-waxed-driftwood/,"Get the finest in romantic, vintage styling with Highland Park by Steve Silver Company. This bedroom collection features a multi-step, distressed waxed driftwood finish that evokes the feeling of time-worn antiques with all the amenities today designs offer (like USB chargers in the nightstand). Refresh your bedroom with the nostalgia of Highland Park.","Get the finest in romantic, vintage styling with Highland Park by Steve Silver Company. This bedroom collection features a multi-step, distressed waxed driftwood finish that evokes the feeling of time-worn antiques with all the amenities today designs offer (like USB chargers in the nightstand). Refresh your bedroom with the nostalgia of Highland Park.

Features:
• Constructed of hardwood solids and veneers
• Styling details include vintage finish, framed button-tufted headboard, framed door fronts and pewter finish hardware
• Storage pieces include dresser, chest, and vanity
• Multi-step waxed driftwood finish","SS-HP900NSD, SS-HP900CTDT, SS-HP900MRD",catalog/steve-silver-beds/images/SS-HP900QFBD-1.jpg,catalog/steve-silver-beds/images/SS-HP900QFBD-1T.jpg,https://stevesilver.com/wp-content/uploads/2020/01/SteveSilverFurniture_HighlandPark_HP900KHB_HP900KFB_VG1.jpg
