productcode,productname,productdescription,productweight,photourl,hideproduct
950318,Borman 2-door Home Bar Cabinet Wine Storage Walnut and Black,"<p>Get the party started with a sophisticated bar cabinet that feels just as stylish closed as it does open. Warm walnut-finished mango wood doors and a black case create bold contrast, while checkerboard fronts and geometric pulls add distinctive personality. Inside, generous shelving and storage support wine, glassware, and cocktail essentials, and the silver-finished iron base lifts the whole silhouette with welcome height and lightness.</p><p><b>Dimensions:</b> 36""w x 18""d x 63.5""h</p><ul><li>Bar cabinet in walnut and black features bold checkerboard doors</li><li>Mango wood doors bring warmth and natural richness to the design</li><li>Interior shelves create organized space for wine and bar essentials</li><li>Geometric pulls add eye-catching detail to the cabinet front</li><li>Silver-finished iron base lifts the cabinet with airy contrast</li><li>Sophisticated silhouette suits living rooms dining rooms and lounges</li></ul>",157.74,/v/vspfiles/photos/coaster bars/950318-1.jpg,N
182355,Araceli Freestanding LED Home Bar Cabinet White High Gloss,"<p>Pull out all the stops to bring fresh energy and organization to a casual entertainment space with this modular-inspired home bar. A bright white high gloss finish keeps the look sleek and contemporary, while chrome framing adds geometric edge beneath the generous prep surface. Shelving, glassware storage, and bottle racks keep the center organized, and the color-changing LED strip under the top adds a playful finishing touch.</p><p><b>Dimensions:</b> 52.25""w x 21.25""d x 41.5""h</p><ul><li>Home bar in white high gloss features a sleek modular-inspired silhouette</li><li>Integrated LED strip changes color beneath the countertop surface</li><li>Center shelving and bottle racks keep entertaining essentials organized</li><li>Spacious top shelf creates an easy prep surface for drinks and snacks</li><li>Chrome framing adds geometric contrast and contemporary character</li><li>Compact design transforms casual spaces into fun hosting zones</li></ul>",99.42,/v/vspfiles/photos/coaster bars/182355-1.jpg,N
100139,Keystone Curved Glass Top Home Bar Wine Cabinet Black,"<p>Entertain in sleek sophistication with this modern home bar, featuring a curved silhouette, chrome accents, and glossy black and white acrylic panels. Dual-tiered frosted glass tops offer ample space for mixing and serving, while the metal footrest invites guests to sit back and enjoy the experience. Designed to impress in any lounge or entertaining space.</p><p><b>Dimensions:</b> 60""w x 29.5""d x 44""h</p><ul><li>Contemporary home bar with a bold black finish and sweeping modern curves</li><li>Polished electroplated chrome footrest provides added guest comfort and style</li><li>Includes stemware rack and built-in wine racks to hold up to eight bottles</li><li>Crafted with durable chrome metal, acrylic panels, and tempered glass</li><li>Features sleek frosted and clear glass tops for stylish drink prep and serving</li><li>Eye-catching black and white acrylic panels add dramatic visual contrast</li></ul>",97.99,/v/vspfiles/photos/coaster bars/100139-1.jpg,N
182104,Bellemore Freestanding Home Bar Wine Cabinet Rustic Oak,"<p>Create a home bar with rustic charm and practical storage built right in. Finished in rustic oak, this freestanding bar features a spacious U-shaped design that invites you to step behind and serve drinks with ease. Six stemware racks, a 12-bottle wine rack, open shelving, and a sturdy footrest make it ready for everything from casual pours to craft cocktail nights, all while bringing warm farmhouse character to the room.</p><p><b>Dimensions:</b> 70.75""w x 27.5""d x 43""h</p><ul><li>Twelve-bottle wine rack supports casual pours and cocktail nights</li><li>Six stemware racks keep glassware organized and easy to access</li><li>Farmhouse-inspired finish brings warm rustic character to the space</li><li>Open shelves create room for bottles barware and serving essentials</li><li>Home bar in rustic oak features a spacious U-shaped serving design</li><li>Attached metal footrest adds comfort for seated entertaining moments</li></ul>",156.2,/v/vspfiles/photos/coaster bars/182104-1.jpg,N
182105,Bellemore Freestanding Home Bar Wine Cabinet Grey Driftwood,"<p>Create a home bar with rustic charm and practical storage built right in. Finished in grey driftwood, this freestanding bar features a spacious U-shaped design that invites you to step behind and serve drinks with ease. Six stemware racks, a 12-bottle wine rack, open shelving, and a sturdy footrest make it ready for everything from casual pours to craft cocktail nights, all while bringing warm farmhouse character to the room.</p><p><b>Dimensions:</b> 70.75""w x 27.5""d x 43""h</p><ul><li>Twelve-bottle wine rack supports casual pours and cocktail nights</li><li>Six stemware racks keep glassware organized and easy to access</li><li>Farmhouse-inspired finish brings warm rustic character to the space</li><li>Open shelves create room for bottles barware and serving essentials</li><li>Home bar in grey driftwood features a spacious U-shaped serving design</li><li>Attached metal footrest adds comfort for seated entertaining moments</li></ul>",156.2,/v/vspfiles/photos/coaster bars/182105-1.jpg,N
182852,Arlington Sliding Door Home Bar Wine Cabinet Rustic Oak,"<p>Bar cabinet blends rustic storage and entertaining function in a compact footprint with a sliding barn door, open shelving, and integrated bottle and stemware organization. Engineered wood construction with laminate veneer pairs with black metal legs for a sturdy mixed-material look that suits farmhouse and lodge-inspired interiors. Use it to store bar essentials, display glassware, and keep bottles organized in dining rooms, living spaces, or casual entertaining areas.</p><p><b>Dimensions:</b> 35.5""w x 15.5""d x 41.75""h</p><ul><li>Open shelves display barware decanters and everyday entertaining essentials</li><li>Sliding barn door conceals cabinet space while adding distinctive rustic charm</li><li>Adjustable shelving offers flexible interior storage for bottles and accessories</li><li>Eight-bottle storage keeps wine organized and easy to access when hosting</li><li>Black metal legs add contrast and support to the mixed-material silhouette</li><li>Bar cabinet in rustic oak delivers farmhouse character with organized storage</li></ul>",77,/v/vspfiles/photos/coaster bars/182852-1.jpg,N
182037,Montara Tempered Glass Wine Storage LED Curio Cabinet Chrome,"<p>Put the spotlight on your favorite vintages with a wine cabinet that feels bright, airy, and beautifully display-driven. Clear tempered glass panels on all sides keep the presentation open, while chrome hardware and shelving add a sleek contemporary gleam. LED strip lighting operated by a touch switch brings even more focus to the bottles within. Designed to showcase up to 18 bottles, it turns wine storage into a feature.</p><p><b>Dimensions:</b> 31.5""w x 11.75""d x 64.25""h</p><ul><li>Wine cabinet in chrome features clear glass panels on all sides</li><li>LED strip lighting highlights bottles with bright modern presentation</li><li>Chrome hardware and shelving create a sleek contemporary finish</li><li>Touch light switch adds easy control for illuminated wine display</li><li>Cabinet stores up to 18 bottles in a stylish open presentation</li><li>Two glass doors provide access while maintaining airy visibility</li></ul>",122.47,/v/vspfiles/photos/coaster bars/182037-1.jpg,N
100165,Prescott Rectangular Home Wine Table Black High Gloss,"<p>If you love to entertain, this contemporary bar unit makes it easy to do so with style and convenience. A gloss black finish and chrome accents create a bold, elegant silhouette that stands out in a dining area or recreation room. Two tempered glass shelves offer open display for bottles, glassware, and accessories, while an integrated stemware holder adds practical charm. Its compact footprint makes it an easy fit wherever the party gathers.</p><p><b>Dimensions:</b> 47.25""w x 15.75""d x 43.5""h</p><ul><li>Chrome accents sharpen the silhouette with polished contrast</li><li>Two tempered glass shelves provide open storage and display space</li><li>Gloss black finish creates a bold and elegant visual statement</li><li>Smaller footprint suits dining areas rec rooms and lounge corners</li><li>Stemware holder adds practical storage for entertaining essentials</li><li>Bar shelf in black high gloss features a compact modern profile</li></ul>",84.26,/v/vspfiles/photos/coaster bars/100165-1.jpg,N
182798,Risley 2-door Circular LED Wine Cabinet White High Gloss,"<p>Wine cabinet transforms entertaining spaces with a circular silhouette, integrated LED lighting, and a sleek mix of chrome-toned metal and engineered wood. Designed for both display and storage, it includes three bottle tiers that cradle up to 21 bottles, a built-in stemware rack, and a two-door lower cabinet for tucked-away essentials. The illuminated design brings a lively glow to dining rooms and lounges, while the broad top creates a practical surface for glasses, mixers, and serving.</p><p><b>Dimensions:</b> 72.5""w x 16.25""d x 75""h</p><ul><li>White wine cabinet with LED lighting creates a bold entertaining centerpiece</li><li>Two-door lower cabinet conceals bar tools bottles and hosting essentials</li><li>Chrome-finished frame and broad top support drinks mixers and serving pieces</li><li>Built-in stemware rack keeps glassware close at hand and neatly displayed</li><li>Three bottle tiers cradle up to 21 bottles for organized wine storage</li><li>Circular design adds a modern look to dining rooms lounges and bar areas</li></ul>",94.07,/v/vspfiles/photos/coaster bars/182798-1.jpg,N
182799,Risley 2-door Circular LED Wine Cabinet Dark Charcoal,"<p>Wine cabinet transforms entertaining spaces with a circular silhouette, integrated LED lighting, and a sleek mix of chrome-toned metal and engineered wood. Designed for both display and storage, it includes three bottle tiers that cradle up to 21 bottles, a built-in stemware rack, and a two-door lower cabinet for tucked-away essentials. The illuminated design brings a lively glow to dining rooms and lounges, while the broad top creates a practical surface for glasses, mixers, and serving.</p><p><b>Dimensions:</b> 72.5""w x 16.25""d x 75""h</p><ul><li>Dark charcoal wine cabinet with LED lighting creates a bold centerpiece</li><li>Two-door lower cabinet conceals bar tools bottles and hosting essentials</li><li>Chrome-finished frame and broad top support drinks mixers and serving pieces</li><li>Built-in stemware rack keeps glassware close at hand and neatly displayed</li><li>Three bottle tiers cradle up to 21 bottles for organized wine storage</li><li>Circular design adds a modern look to dining rooms lounges and bar areas</li></ul>",94.07,/v/vspfiles/photos/coaster bars/182799-1.jpg,N
