ProductCode,ProductName,Description,MainFeatures,Dimensions,WeightLbs,WeightSource,Price,RegularPrice,ImageCount,MainImage,SourceUrl
CV520-D5PC-G,"CANOVA 7-PIECE 52"" ROUND GRAY MARBLE DINING SET","Constructed of gray marble veneered table top with engineered woods, a base from pine solids, veneers and engineered woods and chair constructed of wood solids 7-Piece Set includes the Canova 52"" Round Marble Dining Table & 6 Side Chairs. Gray marble top with white veining blends beautifully with a white timber-beam trestle base The chair includes details such as tapered leg and a wood-framed back that resists wear and tear Neutral white and gray works with virtually any decor Transitional style works well with farmhouse, cottage or casual rustic environments Top Color: Gray Marble Base Color: White Chair fabric content: 100% Polyester Set includes table and four Side Chairs. Each piece also sold separately.","Constructed of gray marble veneered table top with engineered woods, a base from pine solids, veneers and engineered woods and chair constructed of wood solids | 7-Piece Set includes the Canova 52"" Round Marble Dining Table & 6 Side Chairs. | Gray marble top with white veining blends beautifully with a white timber-beam trestle base | The chair includes details such as tapered leg and a wood-framed back that resists wear and tear | Neutral white and gray works with virtually any decor | Transitional style works well with farmhouse, cottage or casual rustic environments | Top Color: Gray Marble | Base Color: White | Chair fabric content: 100% Polyester | Set includes table and four Side Chairs. Each piece also sold separately.",38.5 x 36.25 x 6.25,208.78,Listed on stevesilverspecials.com,579.00,694.80,17,CV520-D5PC-G-1.jpg,https://stevesilverspecials.com/product/canova-5-piece-gray-marble-dining-settable-4-side-chairs/
RH900Q6PC,RHAPSODY QUEEN 8-PIECE BEDROOM SET,"Constructed of hardwood solids, veneers and resin 8-Piece Set includes the Rhapsody Queen Bed, Dresser, Mirror, 2 Nightstands and Lift-Top Chest. Each item also sold separately. Styling details include shaped Dresser fronts and drawers that duplicate the look and feel of antique furniture; fluted pilasters with scrolled feet, intricately shaped mirror with carving effect details and scrollwork on sides and top, button tufted headboard and footboard with scalloped, scrolled headboard, fluted pilasters and scrolled feet. French dovetail drawers with side metal drawer glides provide whisper-quiet drawer operation Finish: multi-step molasses finish with antiqued finish rub-through","Constructed of hardwood solids, veneers and resin | 8-Piece Set includes the Rhapsody Queen Bed, Dresser, Mirror, 2 Nightstands and Lift-Top Chest. Each item also sold separately. | Styling details include shaped Dresser fronts and drawers that duplicate the look and feel of antique furniture; fluted pilasters with scrolled feet, intricately shaped mirror with carving effect details and scrollwork on sides and top, button tufted headboard and footboard with scalloped, scrolled headboard, fluted pilasters and scrolled feet. | French dovetail drawers with side metal drawer glides provide whisper-quiet drawer operation | Finish: multi-step molasses finish with antiqued finish rub-through",57.75 x 44.5 x 23.25,829.5,Listed on stevesilverspecials.com,1399.00,1678.80,16,RH900Q6PC-1.jpg,https://stevesilverspecials.com/product/rhapsody-bedroom/
MON900-Q5PC-G,MONTANA QUEEN BED,"Crafted from Asian hardwoods, Acacia veneers and engineered woods Made with kiln-dried wood to help prevent warping, splitting, cracking and developing mildew Finished Backs allow pieces to float in a room if needed Matte gray finish Set includes Queen Bed","Crafted from Asian hardwoods, Acacia veneers and engineered woods | Made with kiln-dried wood to help prevent warping, splitting, cracking and developing mildew | Finished Backs allow pieces to float in a room if needed | Matte gray finish | Set includes Queen Bed",86 x 23 x 5,126,"Estimated from comparable Steve Silver SKU MON900-QBED-G (same collection, same Queen Bed piece type)",289.00,346.80,36,MON900-Q5PC-G-1.jpg,https://stevesilverspecials.com/product/montana-4-piece-queen-set/
IC100SGN,ISAAC CHANNEL STITCH GREEN VELVET SOFA,"Button-tufted back and arms with a tuxedo arm 100% Kiln Dried Engineered Wood Frame; Corner blocked, double doweled 3A packaging ensures safe parcel delivery Easy assembly with all tools included in the package The chair's soft-touch, breathable emerald-green velvet, crafted from 100% polyester, ensures plush comfort and a luxurious seating experience 100% polyester fabric cover provides a durable and easy-to-clean surface that resists stains and spills.","Button-tufted back and arms with a tuxedo arm | 100% Kiln Dried Engineered Wood Frame; Corner blocked, double doweled | 3A packaging ensures safe parcel delivery | Easy assembly with all tools included in the package | The chair's soft-touch, breathable emerald-green velvet, crafted from 100% polyester, ensures plush comfort and a luxurious seating experience | 100% polyester fabric cover provides a durable and easy-to-clean surface that resists stains and spills.",86 x 35 x 33,110,ESTIMATED — no comparable data found in Steve Silver catalogs; industry-typical for a 3-seat channel-tufted velvet sofa,499.00,598.80,8,IC100SGN-1.jpg,https://stevesilverspecials.com/product/isaac-channel-stitched-green-velvet-sofa/
IC100LGN,ISAAC STITCH GREEN VELVET LOVESEAT,"Button-tufted back and arms with a tuxedo arm 100% Kiln Dried Engineered Wood Frame; Corner blocked, double doweled 3A packaging ensures safe parcel delivery Easy assembly with all tools included in the package The loveseat's soft-touch, breathable emerald-green velvet, crafted from 100% polyester, ensures plush comfort and a luxurious seating experience 100% polyester fabric cover provides a durable and easy-to-clean surface that resists stains and spills.","Button-tufted back and arms with a tuxedo arm | 100% Kiln Dried Engineered Wood Frame; Corner blocked, double doweled | 3A packaging ensures safe parcel delivery | Easy assembly with all tools included in the package | The loveseat's soft-touch, breathable emerald-green velvet, crafted from 100% polyester, ensures plush comfort and a luxurious seating experience | 100% polyester fabric cover provides a durable and easy-to-clean surface that resists stains and spills.",65 x 35 x 33,85,ESTIMATED — no comparable data found in Steve Silver catalogs; industry-typical for a channel-tufted velvet loveseat,399.00,478.80,7,IC100LGN-1.jpg,https://stevesilverspecials.com/product/isaac-channel-stitched-green-velvet-loveseat/
IC100SGY,ISAAC CHANNEL STITCH GRAY VELVET SOFA,"Button-tufted back and arms with a tuxedo arm 100% Kiln Dried Engineered Wood Frame; Corner blocked, double doweled 3A packaging ensures safe parcel delivery Easy assembly with all tools included in the package The chair's soft-touch, breathable moonlight-gray velvet, crafted from 100% polyester, ensures plush comfort and a luxurious seating experience 100% polyester fabric cover provides a durable and easy-to-clean surface that resists stains and spills.","Button-tufted back and arms with a tuxedo arm | 100% Kiln Dried Engineered Wood Frame; Corner blocked, double doweled | 3A packaging ensures safe parcel delivery | Easy assembly with all tools included in the package | The chair's soft-touch, breathable moonlight-gray velvet, crafted from 100% polyester, ensures plush comfort and a luxurious seating experience | 100% polyester fabric cover provides a durable and easy-to-clean surface that resists stains and spills.",86 x 35 x 33,110,ESTIMATED — no comparable data found in Steve Silver catalogs; industry-typical for a 3-seat channel-tufted velvet sofa,399.00,478.80,8,IC100SGY-1.jpg,https://stevesilverspecials.com/product/isaac-channel-stitched-gray-velvet-sofa/
IC100LGY,ISAAC STITCH GRAY VELVET LOVESEAT,"Button-tufted back and arms with a tuxedo arm 100% Kiln Dried Engineered Wood Frame; Corner blocked, double doweled 3A packaging ensures safe parcel delivery Easy assembly with all tools included in the package The chair’s soft-touch, breathable moonlight-gray velvet, crafted from 100% polyester, ensures plush comfort and a luxurious seating experience 100% polyester fabric cover provides a durable and easy-to-clean surface that resists stains and spills.","Button-tufted back and arms with a tuxedo arm | 100% Kiln Dried Engineered Wood Frame; Corner blocked, double doweled | 3A packaging ensures safe parcel delivery | Easy assembly with all tools included in the package | The chair’s soft-touch, breathable moonlight-gray velvet, crafted from 100% polyester, ensures plush comfort and a luxurious seating experience | 100% polyester fabric cover provides a durable and easy-to-clean surface that resists stains and spills.",65 x 35 x 33,85,ESTIMATED — no comparable data found in Steve Silver catalogs; industry-typical for a channel-tufted velvet loveseat,399.00,478.80,7,IC100LGY-1.jpg,https://stevesilverspecials.com/product/isaac-channel-stitched-gray-velvet-loveseat/
FT850CC,FORTUNA RECLINER PWR/PWR COFFEE,Constructed of top-grain leather on all seating areas and polyurethane sides and backs Power articulating headrest and power footrest with control panel that has USB port and home button to return seat and headrest to original position High-resiliency foam seating Contemporary styling Color shown: coffee,Constructed of top-grain leather on all seating areas and polyurethane sides and backs | Power articulating headrest and power footrest with control panel that has USB port and home button to return seat and headrest to original position | High-resiliency foam seating | Contemporary styling | Color shown: coffee,38 x 40 x 42,95,ESTIMATED — no comparable data found in Steve Silver catalogs; industry-typical for a single leather power recliner w/ power headrest,299.00,358.80,12,FT850CC-1.jpg,https://stevesilverspecials.com/product/fortuna-leather-power-recliner-w-power-headrest/
FT850LC,FORTUNA DUAL-POWER LEATHER RECLINING CONSOLE LOVESEAT,&nbsp; Constructed of top-grain leather on all seating areas and polyurethane sides and backs Power articulating headrest and power footrest with control panel that has USB port and home button to return seat and headrest to original position High-resiliency foam seating Contemporary styling Color shown: coffee,Constructed of top-grain leather on all seating areas and polyurethane sides and backs | Power articulating headrest and power footrest with control panel that has USB port and home button to return seat and headrest to original position | High-resiliency foam seating | Contemporary styling | Color shown: coffee,72 x 40 x 42,140,ESTIMATED — no comparable data found in Steve Silver catalogs; industry-typical for a dual-power reclining console loveseat,499.00,598.80,15,FT850LC-1.jpg,https://stevesilverspecials.com/product/fortuna-loveseatcoffee/
LL950CLG,LAUREL PWR-PWR CONSOLE LOVESEAT,"Constructed of top-grain leather on all seating areas and polyurethane sides and backs Features power articulating headrest and power reclining leg rest High-resiliency foam seating Contemporary styling Shown in grey, also available in ivory","Constructed of top-grain leather on all seating areas and polyurethane sides and backs | Features power articulating headrest and power reclining leg rest | High-resiliency foam seating | Contemporary styling | Shown in grey, also available in ivory",74 x 40 x 42,145,ESTIMATED — no comparable data found in Steve Silver catalogs; industry-typical for a dual-power reclining console loveseat,399.00,478.80,13,LL950CLG-1.jpg,https://stevesilverspecials.com/product/laurel-dual-power-reclining-console-loveseat-grey/
