productcode,productdescription
TMH-ACC-CARRYALL-PINK,"<p>Meet the ultimate carry-all, thoughtfully designed to hold everything you need for a perfect Mahjong game on-the-go. Spacious enough for multiple sets of tiles, racks, mats, and your everyday essentials—think water bottle, lipstick, and more—this bag is made for Mahjong enthusiasts who love to play anywhere, anytime. Crafted from durable yet chic canvas and adorned with The Mahjong House’s elegant logo, it brings a touch of sophistication to every adventure.</p>
<p>Material: 24 oz canvas</p>
<p>Dimensions: 22"" x 16"" x 6""</p>
<p>Weight: Approx. 2 lb total</p>"
TMH-ACC-CARRYALL-RED,"<p>Meet the ultimate carry-all, thoughtfully designed to hold everything you need for a perfect Mahjong game on-the-go. Spacious enough for multiple sets of tiles, racks, mats, and your everyday essentials—think water bottle, lipstick, and more—this bag is made for Mahjong enthusiasts who love to play anywhere, anytime. Crafted from durable yet chic canvas and adorned with The Mahjong House’s elegant logo, it brings a touch of sophistication to every adventure.</p>
<p>Material: 24 oz canvas</p>
<p>Dimensions: 22"" x 16"" x 6""</p>
<p>Weight: Approx. 2 lb total</p>"
TMH-ACC-PURP-TAN-RAFFIA,"<p>Our large purple and natural striped raffia bag is the perfect blend of style and functionality. Designed to hold your Mahjong racks and tiles, this chic bag doubles as an everyday purse, bringing a touch of island-inspired elegance wherever you go.</p>
<p>Product Details:</p>
<p>Material: Raffia exterior and canvas interior</p>
<p>Dimensions: 22"" x 9"" x 0.25""</p>
<p>Weight: Approx. 1 lb total</p>"
TMH-ACC-RATTAN-TILE-BOX,"<p>Elevate your game night with a touch of tropical elegance. Our <b>Rattan Tile Box</b> is a stylish and functional way to store your full-size set of mahjong tiles. Handcrafted with meticulous attention to detail, this box blends the natural warmth of rattan with a design inspired by the breezy sophistication of The Bahamas and the vivid colors of the tropics.</p>
<p>Part of our <b>Island Collection</b>, this box perfectly captures the spirit of a sun-soaked escape. Its soft, sandy neutral tones evoke the charm of carefree days by the beach, while its sturdy design ensures your tiles are beautifully and securely housed between games.</p>"
TMH-ACC-WHT-TAN-RAFFIA,"<p>Our white and natural striped raffia bag is the perfect blend of style and functionality. Designed to hold your mahjong tiles, this chic bag doubles as an everyday purse, bringing a touch of island-inspired elegance wherever you go.</p>
<p>Product Details:</p>
<p>Material: Raffia exterior and canvas interior</p>
<p>Dimensions: 9.25"" x 12.25"" x 0.25""</p>
<p>Weight: Approx. 1 lb total</p>"
TMH-ACC-ZIP-RECT-TILE-BAG,"<p>Take your Mahjong tiles on-the-go with style and ease with our canvas logo bag. Designed for Mahjong enthusiasts who love to play anywhere, this sturdy yet chic canvas bag keeps your tiles safe and ready for any adventure. Adorned with The Mahjong House’s elegant logo, it brings a touch of sophistication to every game. Whether you’re headed to a friend’s house, a cozy cabin, or a tropical getaway, this bag is the perfect way to store and transport your tiles in style. Grab yours and let the games begin, wherever life takes you!</p>"
TMH-ACC-ZIP-SQ-TILE-BAG,"<p>Take your Mahjong tiles on the go with style and ease with our canvas zipper bag. Designed for Mahjong enthusiasts who love to play anywhere, this sturdy yet chic canvas bag keeps your tiles safe and ready for any adventure. Adorned with The Mahjong House’s elegant logo, it brings a touch of sophistication to every game. Whether you’re headed to a friend’s house, a cozy cabin, or a tropical getaway, this bag is the perfect way to store and transport your favorite tiles in style. Grab yours and let the games begin, wherever life takes you!</p>"
TMH-MAT-AMETHYST-GEM-MAT,"<p>Bring twice the brilliance to your game with our Amethyst Gem Double-Sided Mahjong Mat. One side features one large faceted amethyst and the other side a pattern of all of our Jewel Collection jewels. This mat creates a stunning backdrop, especially to our Jewels! Amethyst House Tiles, but is designed to mix-and-match with any tiles in the Jewels House Collection, adding many interesting facets to every jewel of a game.</p>"
TMH-MAT-AMETHYST-TABLE-MAT,"<p>Pull up a chair and bring twice the style to your game with our Amethyst Table Double-Sided Mahjong Mat. This elegant, minimalist tone-on-tone design is inspired by the traditional table set up for a game of mahjong. One side features one large shape and the other side a pattern of four. This mat creates a stunning backdrop, especially to our Jewels! Amethyst House Tiles, but is designed to mix-and-match with any tiles in the Jewels House Collection, adding luster to every jewel of a game.</p>"
TMH-MAT-BLU-PNK-FLWR-BDR,"<p>Elevate your Mahjong experience with our stunning mat, adorned in lovely blue & pink hues and featuring an elegant floral border. This beautifully designed mat provides the perfect backdrop for your game, enhancing every tile with a touch of refined style.</p>"
TMH-MAT-BLUE-FLOWER-BORDER-MAT,"<p>Elevate your Mahjong experience with our stunning mat, adorned in lovely blue hues and featuring an elegant floral border. This beautifully designed mat provides the perfect backdrop for your game, enhancing every tile with a touch of refined style.</p>"
TMH-MAT-BLUE-ISLAND-BORDER-MAT,"<p>Dive into the beauty of the tropics with our Island Collection Mahjong Mat. Featuring a vibrant palette of tropical colors and an elegant border adorned with seashells and ocean-inspired designs, this mat brings the serenity of the seaside to your game. Perfect for creating a relaxed, breezy vibe, it’s an ideal backdrop for any Mahjong gathering. Let the soothing coastal charm of this mat transport you to your favorite island getaway with every hand.</p>
<p>PLEASE NOTE: The Mahjong House’s Island, Texas, and Classic collection products do not have branded/descriptive packaging; the tile sets each ship in a branded MAHJONG HOUSE drawstring bag and their mats ship without wrapping or labels.</p>"
TMH-MAT-BLUE-MAT,"<p>Bring double the elegance to your game with our brand new reversible mahjong mat. That's two beautiful mats in one! One side features a delicate peony design in blues on a light purple field. The other side is our Mahjong House flower border in navy on a light blue field. This mat creates a stunning backdrop, especially to any tiles in our House Collection, adding warmth and charm to every game. Mats at The Mahjong House are designed to make each hand feel as special as the last.</p>
<p>Materials: Spandex & Rubber; Machine Washable: Dimensions: 31.5"" x 31.5""</p>"
TMH-MAT-BLUE-PEONY-MAT,"<p>Bring elegance to your game with our favorite Mahjong mat, featuring a delicate peony design in corals and pinks. This mat creates a stunning backdrop, adding warmth and charm to every game. Designed to make each hand feel as special as the last.</p>"
TMH-MAT-CORAL-PEONY-MAT,"<p>Bring elegance to your game with our favorite Mahjong mat, featuring a delicate peony design in corals and pinks. This mat creates a stunning backdrop, adding warmth and charm to every game. Designed to make each hand feel as special as the last.</p>"
TMH-MAT-DECO-CIRCLE-MAT,"<p>Bring twice the classic, roaring elegance to your game with our Deco Circle Double-Sided Mahjong Mat. Each side features a different color scheme of our deco circle pattern, echoing the delicate details of our Deco Collection tiles. This mat creates a stunning backdrop to our Mother of Pearl Deco Tiles and racks, adding a touch of polish to every roaring game.</p>"
TMH-MAT-DECO-DEEP-AND-GOLD-MAT,"<p>Bring twice the classic, minimal elegance to your game with our Deco Deep & Gold Double-Sided Mahjong Mat. One side features a subtle star border and the other a repeating pattern of our geometric deco peacock bird bam. This mat creates a stunning backdrop to our Mother of Pearl Deco Tiles and racks, adding a touch of polish to every roaring game.</p>"
TMH-MAT-DECO-OLIVE-AND-RED-MAT,"<p>Bring twice the classic, minimal elegance to your game with our Deco Olive & Red Double-Sided Mahjong Mat. One side features a subtle star border and the other a repeating pattern of our geometric deco peacock bird bam. This mat creates a stunning backdrop to our Mother of Pearl Deco Tiles and racks, adding a touch of polish to every roaring game.</p>"
TMH-MAT-ELEC-BLU-GARDEN,"<p>Bring twice the brightness to your game with our Electric Blue Garden Double-Sided Mahjong Mat. One side features a pattern of our signature colorful butterfly dragons and the other side a caning graphic created with our TMH initials. This mat creates a stunning backdrop, especially to our Brights! Electric Blue House Tiles, but is designed to mix-and-match with any tiles in the Brights House Collection, adding style and whimsy to every colorful game.</p>"
TMH-MAT-ELEC-BLU-TRELLIS,"<p>Bring twice the vibrance to your game with our Electric Blue Trellis Double-Sided Mahjong Mat. This fun, trellis-inspired design is an abstraction of the initials MH for Mahjong House. One side features a multi-colored pattern on a lilac backdrop and the other reflects the colors of the Electric Blue tile. This mat creates a stunning backdrop, especially to our Brights! Electric Blue House Tiles, but is designed to mix-and-match with any tiles in the Brights House Collection, adding an extra splash of color to every game.</p>"
TMH-MAT-EMERALD-GEM-MAT,"<p>Bring twice the brilliance to your game with our Emerald Gem Double-Sided Mahjong Mat. One side features one large faceted emerald and the other side a pattern of all of our Jewel Collection jewels. This mat creates a stunning backdrop, especially to our Jewels! Emerald House Tiles, but is designed to mix-and-match with any tiles in the Jewels House Collection, adding many interesting facets to every jewel of a game.</p>"
TMH-MAT-EMERALD-TABLE-MAT,"<p>Pull up a chair and bring twice the style to your game with our Emerald Table Double-Sided Mahjong Mat. This elegant, minimalist tone-on-tone design is inspired by the traditional table set up for a game of mahjong. One side features one large shape and the other side a pattern of four. This mat creates a stunning backdrop, especially to our Jewels! Emerald House Tiles, but is designed to mix-and-match with any tiles in the Jewels House Collection, adding lustre to every jewel of a game.</p>"
TMH-MAT-GRN-FLWR-BDR,"<p>Elevate your Mahjong experience with our stunning mat, adorned in lovely green hues and featuring an elegant floral border. This beautifully designed mat provides the perfect backdrop for your game, enhancing every tile with a touch of refined style.</p>"
TMH-MAT-HOT-PNK-ISLAND,"<p>Dive into the beauty of the tropics with our Island Collection Mahjong Mat. Featuring a vibrant palette of tropical colors and an elegant border adorned with seashells and ocean-inspired designs, this mat brings the serenity of the seaside to your game. Perfect for creating a relaxed, breezy vibe, it’s an ideal backdrop for any Mahjong gathering. Let the soothing coastal charm of this mat transport you to your favorite island getaway with every hand.</p>
<p>PLEASE NOTE: The Mahjong House’s Island, Texas, and Classic collection products do not have branded/descriptive packaging; the tile sets each ship in a MAHJONG HOUSE drawstring bag and their mats ship without wrapping or labels.</p>"
TMH-MAT-LILAC-GARDEN-MAT,"<p>Bring twice the brightness to your game with our Lilac Garden Double-Sided Mahjong Mat. One side features a pattern of our signature colorful butterfly dragons and the other side a caning graphic created with our TMH initials. This mat creates a stunning backdrop, especially to our Brights! Lilac House Tiles, but is designed to mix-and-match with any tiles in the Brights House Collection, adding style and whimsy to every colorful game.</p>"
TMH-MAT-LILAC-TRELLIS-MAT,"<p>Bring twice the vibrance to your game with our Lilac Trellis Double-Sided Mahjong Mat. This fun, trellis-inspired design is an abstraction of the initials MH for Mahjong House. One side features a multi-colored pattern on a lilac backdrop and the other reflects the colors of the Lilac tile. This mat creates a stunning backdrop, especially to our Brights! Lilac House Tiles, but is designed to mix-and-match with any tiles in the Brights House Collection, adding an extra splash of color to every game.</p>"
TMH-MAT-MOD-BIRD-PLAID,"<p>Bring twice the fun to your mahjong table with our Mod Bird Bam & Plaid Double-Sided Mahjong Mat. One side features a minimalistic cool-toned geometric plaid border on a cream field and the other side a repeating pattern of our mod peacock bird bam. This mat creates a fun and colorful backdrop to our Tortoise & Cream Mod Tiles and racks, adding a splash of retro style to every groovy game.</p>"
TMH-MAT-MOD-JOKER-PLAID,"<p>Bring twice the fun to your mahjong table with our Mod Joker & Plaid Double-Sided Mahjong Mat. One side features a minimalistic warm-toned geometric plaid border on a cream field and the other side a funky collection of JOKER circles. This mat creates a fun and colorful backdrop to our Tortoise & Cream Mod Tiles and racks, adding a splash of retro style to every groovy game.</p>"
TMH-MAT-MOD-STRIPES-MAT,"<p>Bring twice the fun to your mahjong table with our Mod Stripes Double-Sided Mahjong Mat. One side features thin maroon stripes alternating with thick light blue stripes and the other side bubblegum pink and maroon stripes . Both sides sport fun little flower details in one corner for a little surprise whimsy. This mat creates a fun and colorful backdrop to our Tortoise & Cream Mod Tiles, adding a splash of retro style to every groovy game.</p>"
TMH-MAT-PINK-CORNER-STARS-MAT,"<p>Add understated elegance to your game with our Classic Mahjong Mat, featuring a subtle star design in its corners. Perfectly balanced with timeless colors, this mat brings a refined touch to your Mahjong table without overpowering the game. Ideal for those who appreciate classic style with a hint of charm, this mat creates the perfect backdrop for every hand, making it a must-have for Mahjong enthusiasts.</p>
<p>PLEASE NOTE: The Mahjong House’s Island, Texas, and Classic collection products do not have branded/descriptive packaging; the tile sets each ship in a MAHJONG HOUSE drawstring bag and their mats ship without wrapping or labels.</p>"
