productcode,productname,productdescription,productweight,photourl,hideproduct
511231,Amador Chenille Upholstered Track Arm Sofa Camel,"<p>A low, boxy profile gives this chenille sofa a relaxed modern presence with broad track arms and deep loose cushions. Chenille upholstery adds soft texture across the tailored frame, while reversible seat and back cushions support everyday lounging. Foam and pocket coil seat cushions work with S-spring construction for a resilient feel, and two lumbar pillows finish the sofa with casual comfort.</p><p><b>Dimensions:</b> 84""w x 38""d x 35""h</p><ul><li>Camel upholstery gives the sofa a warm neutral tone for transitional living rooms</li><li>Chenille sofa brings a low boxy profile with broad track arms and relaxed texture</li><li>Dark brown rubberwood legs ground the broad upholstered frame with subtle contrast</li><li>Foam and pocket coil seat cushions pair with S-spring support for everyday lounging</li><li>Reversible seat and back cushions help refresh the main seating areas over time</li><li>Two lumbar pillows add casual support and complete the soft layered sofa look</li></ul>",130.46,/v/vspfiles/photos/coaster living room/511231-1.jpg,N
511234,Amador Chenille Upholstered Track Arm Sofa Chocolate,"<p>A low, boxy profile gives this chenille sofa a relaxed modern presence with broad track arms and deep loose cushions. Chenille upholstery adds soft texture across the tailored frame, while reversible seat and back cushions support everyday lounging. Foam and pocket coil seat cushions work with S-spring construction for a resilient feel, and two lumbar pillows finish the sofa with casual comfort.</p><p><b>Dimensions:</b> 84""w x 38""d x 35""h</p><ul><li>Chenille sofa brings a low boxy profile with broad track arms and rich texture</li><li>Chocolate upholstery gives the sofa a deep brown tone for transitional living rooms</li><li>Dark brown rubberwood legs ground the broad upholstered frame with tonal contrast</li><li>Foam and pocket coil seat cushions pair with S-spring support for everyday lounging</li><li>Reversible seat and back cushions help refresh the main seating areas over time</li><li>Two lumbar pillows add casual support and complete the soft layered sofa look</li></ul>",130.46,/v/vspfiles/photos/coaster living room/511234-1.jpg,N
610351P,Collins Modular Power Sofa Chocolate Brown,"<p>Modular power sofa settles into the room with a quieter kind of comfort, inviting you to pause as the evening light shifts. Fabric upholstery and foam cushioning rest on plywood and engineered wood construction, reinforced with metal and plastic for daily support. Black legs keep the profile grounded. Recline with power, find a comfortable angle, and let the living room feel composed, open, and ready for the hours you keep to yourself.</p><p><b>Dimensions:</b> 124""w x 40""d x 38""h</p><ul><li>Black legs add contrast and keep the silhouette consistent across modular arrangements</li><li>Chocolate brown modular power sofa brings reclining comfort with a clean, grounded presence</li><li>Corduroy upholstery in 100% polyester layers easily into contemporary room styling</li><li>Foam cushioning keeps seating supportive while the profile stays neat and modern</li><li>Plywood and engineered wood frame with metal and plastic reinforcement supports use</li><li>Power reclining adjusts smoothly to support relaxed conversation and nightly unwinding</li></ul>",298.1,/v/vspfiles/photos/coaster living room/610351P-1.jpg,N
609531P,Collins Modular Power Sofa Dark Grey,"<p>Modular power sofa settles into the room with a quieter kind of comfort, inviting you to pause as the evening light shifts. Fabric upholstery and foam cushioning rest on plywood and engineered wood construction, reinforced with metal and plastic for daily support. Black legs keep the profile grounded. Recline with power, find a comfortable angle, and let the living room feel composed, open, and ready for the hours you keep to yourself.</p><p><b>Dimensions:</b> 124""w x 40""d x 38""h</p><ul><li>Black legs add contrast and keep the silhouette consistent across modular arrangements</li><li>Dark grey modular power sofa brings reclining comfort with a clean, grounded presence</li><li>Fabric upholstery in 100% polyester coordinates easily with transitional room styling</li><li>Foam cushioning keeps seating supportive while the profile stays neat and modern</li><li>Plywood and engineered wood frame with metal and plastic reinforcement supports use</li><li>Power reclining adjusts smoothly to support relaxed conversation and nightly unwinding</li></ul>",298.1,/v/vspfiles/photos/coaster living room/609531P-1.jpg,N
609561P,Collins Modular Power Sofa Grey,"<p>Modular power sofa settles into the room with a quieter kind of comfort, inviting you to pause as the evening light shifts. Fabric upholstery and foam cushioning rest on plywood and engineered wood construction, reinforced with metal and plastic for daily support. Black legs keep the profile grounded. Recline with power, find a comfortable angle, and let the living room feel composed, open, and ready for the hours you keep to yourself.</p><p><b>Dimensions:</b> 124""w x 40""d x 38""h</p><ul><li>Black legs add contrast and keep the silhouette consistent across modular arrangements</li><li>Fabric upholstery in 100% polyester coordinates easily with transitional room styling</li><li>Foam cushioning keeps seating supportive while the profile stays neat and modern</li><li>Grey modular power sofa brings reclining comfort with a clean, grounded presence</li><li>Plywood and engineered wood frame with metal and plastic reinforcement supports use</li><li>Power reclining adjusts smoothly to support relaxed conversation and nightly unwinding</li></ul>",298.1,/v/vspfiles/photos/coaster living room/609561P-1.jpg,N
610361P,Collins Modular Power Sofa Black,"<p>Modular power sofa settles into the room with a quieter kind of comfort, inviting you to pause as the evening light shifts. Fabric upholstery and foam cushioning rest on plywood and engineered wood construction, reinforced with metal and plastic for daily support. Black legs keep the profile grounded. Recline with power, find a comfortable angle, and let the living room feel composed, open, and ready for the hours you keep to yourself.</p><p><b>Dimensions:</b> 124""w x 40""d x 38""h</p><ul><li>Black legs add contrast and keep the silhouette consistent across modular arrangements</li><li>Black modular power sofa brings reclining comfort with a clean, grounded presence</li><li>Corduroy upholstery in 100% polyester layers easily into contemporary room styling</li><li>Foam cushioning keeps seating supportive while the profile stays neat and modern</li><li>Plywood and engineered wood frame with metal and plastic reinforcement supports use</li><li>Power reclining adjusts smoothly to support relaxed conversation and nightly unwinding</li></ul>",298.1,/v/vspfiles/photos/coaster living room/610361P-1.jpg,N
504971,Isabella Fabric Upholstered Sofa Sand,"<p>Stationary sofa brings a rounded contemporary silhouette to the living room with smooth curves, sloped arms, and a softly sculpted profile. The tight back and broad bench-style seat keep the look clean and composed while supporting everyday lounging. Black legs add contrast beneath the low frame, and durable wood construction with foam and premium fill cushioning creates a comfortable seat for conversation areas, family rooms, and open-plan spaces.</p><p><b>Dimensions:</b> 90""w x 42""d x 32.5""h</p><ul><li>Sand sofa features a rounded silhouette with sloped arms and a clean low profile</li><li>Tight back and broad bench seat keep the look tailored and visually composed</li><li>Smooth fabric upholstery softens the sculpted frame with an inviting finish</li><li>Foam and premium fill cushioning supports everyday lounging, reading, and casual conversation</li><li>Black legs add crisp contrast and subtle lift beneath the curved silhouette</li><li>Durable wood construction reinforces reliable comfort for daily living room use</li></ul>",134.2,/v/vspfiles/photos/coaster living room/504971-1.jpg,N
509871,Isabella Faux Sheepskin Upholstered Sofa Natural,"<p>Stationary sofa brings a rounded contemporary silhouette to the living room with smooth curves, sloped arms, and a softly sculpted profile. The tight back and broad bench-style seat keep the look clean and composed while supporting everyday lounging. Black legs add contrast beneath the low frame, and durable wood construction with foam cushioning creates a comfortable seat for conversation areas, family rooms, and open-plan spaces.</p><p><b>Dimensions:</b> 90""w x 42""d x 32.5""h</p><ul><li>Faux sheepskin upholstery adds soft texture to the sculpted contemporary frame</li><li>Foam cushioning supports everyday lounging, reading, and casual conversation</li><li>Ivory faux sheepskin sofa features a rounded silhouette with sloped arms and scale</li><li>Tight back and broad bench seat keep the look tailored and visually composed</li><li>Black legs add crisp contrast and subtle lift beneath the curved silhouette</li><li>Durable wood construction reinforces reliable comfort for daily living room use</li></ul>",134.2,/v/vspfiles/photos/coaster living room/509871-1.jpg,N
610241,Camila Upholstered Motion Reclining Sofa Red,"<p>Motion reclining sofa brings plush seating and tailored structure to living rooms, family rooms, and media spaces. Structured backs, padded pillow arms, and channeled seat styling create a composed silhouette that still feels relaxed for everyday lounging. Leatherette upholstery covers foam cushioning over a plywood frame with a metal reclining mechanism, giving the piece smooth manual motion and dependable support. The clean profile suits movie nights, reading, and daily downtime.</p><p><b>Dimensions:</b> 85.5""w x 38.25""d x 38""h</p><ul><li>Manual reclining seats adjust easily for lounging, reading, and movie night comfort</li><li>Padded pillow arms add comfort while softening the transitional sofa silhouette</li><li>Plywood frame and metal mechanism support dependable everyday reclining use</li><li>Red reclining sofa features smooth leatherette upholstery and plush supportive seating</li><li>Red upholstery adds bold warmth and character to family rooms and media spaces</li><li>Structured backs and channeled cushions keep the profile tailored and supportive</li></ul>",192.9,/v/vspfiles/photos/coaster living room/610241-1.jpg,N
610244,Camila Upholstered Motion Reclining Sofa Black,"<p>Motion reclining sofa brings plush seating and tailored structure to living rooms, family rooms, and media spaces. Structured backs, padded pillow arms, and channeled seat styling create a composed silhouette that still feels relaxed for everyday lounging. Leatherette upholstery covers foam cushioning over a plywood frame with a metal reclining mechanism, giving the piece smooth manual motion and dependable support. The clean profile suits movie nights, reading, and daily downtime.</p><p><b>Dimensions:</b> 85.5""w x 38.25""d x 38""h</p><ul><li>Black reclining sofa features smooth leatherette upholstery and plush supportive seating</li><li>Black upholstery keeps the look sleek, versatile, and easy to coordinate at home</li><li>Manual reclining seats adjust easily for lounging, reading, and movie night comfort</li><li>Padded pillow arms add comfort while softening the transitional sofa silhouette</li><li>Plywood frame and metal mechanism support dependable everyday reclining use</li><li>Structured backs and channeled cushions keep the profile tailored and supportive</li></ul>",192.9,/v/vspfiles/photos/coaster living room/610244-1.jpg,N
