ProductCode,ProductName,Category,PieceType,ColorOption,Description,Dimensions,WeightLbs,WeightSource,MainFeatures,ImageCount,MainImage,SourceUrl
511231,Amador Chenille Upholstered Track Arm Sofa Camel,Sofas,Sofa,,"A low, boxy profile gives this chenille sofa a relaxed modern presence with broad track arms and deep loose cushions. Chenille upholstery adds soft texture across the tailored frame, while reversible seat and back cushions support everyday lounging. Foam and pocket coil seat cushions work with S-spring construction for a resilient feel, and two lumbar pillows finish the sofa with casual comfort.","84""w x 38""d x 35""h",130.46,coasterfurniture.com listed,Camel upholstery gives the sofa a warm neutral tone for transitional living rooms | Chenille sofa brings a low boxy profile with broad track arms and relaxed texture | Dark brown rubberwood legs ground the broad upholstered frame with subtle contrast | Foam and pocket coil seat cushions pair with S-spring support for everyday lounging | Reversible seat and back cushions help refresh the main seating areas over time | Two lumbar pillows add casual support and complete the soft layered sofa look,12,511231-1.jpg,https://www.coasterfurniture.com/furniture/category/Sofas/Amador-Track-Arm-Sofa/511231
511234,Amador Chenille Upholstered Track Arm Sofa Chocolate,Sofas,Sofa,,"A low, boxy profile gives this chenille sofa a relaxed modern presence with broad track arms and deep loose cushions. Chenille upholstery adds soft texture across the tailored frame, while reversible seat and back cushions support everyday lounging. Foam and pocket coil seat cushions work with S-spring construction for a resilient feel, and two lumbar pillows finish the sofa with casual comfort.","84""w x 38""d x 35""h",130.46,coasterfurniture.com listed,Chenille sofa brings a low boxy profile with broad track arms and rich texture | Chocolate upholstery gives the sofa a deep brown tone for transitional living rooms | Dark brown rubberwood legs ground the broad upholstered frame with tonal contrast | Foam and pocket coil seat cushions pair with S-spring support for everyday lounging | Reversible seat and back cushions help refresh the main seating areas over time | Two lumbar pillows add casual support and complete the soft layered sofa look,12,511234-1.jpg,https://www.coasterfurniture.com/furniture/category/Sofas/Amador-Track-Arm-Sofa/511231
610351P,Collins Modular Power Sofa Chocolate Brown,Sofas,Power Reclining Sofa,,"Modular power sofa settles into the room with a quieter kind of comfort, inviting you to pause as the evening light shifts. Fabric upholstery and foam cushioning rest on plywood and engineered wood construction, reinforced with metal and plastic for daily support. Black legs keep the profile grounded. Recline with power, find a comfortable angle, and let the living room feel composed, open, and ready for the hours you keep to yourself.","124""w x 40""d x 38""h",298.1,coasterfurniture.com listed,"Black legs add contrast and keep the silhouette consistent across modular arrangements | Chocolate brown modular power sofa brings reclining comfort with a clean, grounded presence | Corduroy upholstery in 100% polyester layers easily into contemporary room styling | Foam cushioning keeps seating supportive while the profile stays neat and modern | Plywood and engineered wood frame with metal and plastic reinforcement supports use | Power reclining adjusts smoothly to support relaxed conversation and nightly unwinding",12,610351P-1.jpg,https://www.coasterfurniture.com/furniture/category/Sofas/Collins-Power-Reclining-Sofa/610361P
609531P,Collins Modular Power Sofa Dark Grey,Sofas,Power Reclining Sofa,Dark Grey,"Modular power sofa settles into the room with a quieter kind of comfort, inviting you to pause as the evening light shifts. Fabric upholstery and foam cushioning rest on plywood and engineered wood construction, reinforced with metal and plastic for daily support. Black legs keep the profile grounded. Recline with power, find a comfortable angle, and let the living room feel composed, open, and ready for the hours you keep to yourself.","124""w x 40""d x 38""h",298.1,coasterfurniture.com listed,"Black legs add contrast and keep the silhouette consistent across modular arrangements | Dark grey modular power sofa brings reclining comfort with a clean, grounded presence | Fabric upholstery in 100% polyester coordinates easily with transitional room styling | Foam cushioning keeps seating supportive while the profile stays neat and modern | Plywood and engineered wood frame with metal and plastic reinforcement supports use | Power reclining adjusts smoothly to support relaxed conversation and nightly unwinding",14,609531P-1.jpg,https://www.coasterfurniture.com/furniture/category/Sofas/Collins-Power-Reclining-Sofa/610361P
609561P,Collins Modular Power Sofa Grey,Sofas,Power Reclining Sofa,Grey,"Modular power sofa settles into the room with a quieter kind of comfort, inviting you to pause as the evening light shifts. Fabric upholstery and foam cushioning rest on plywood and engineered wood construction, reinforced with metal and plastic for daily support. Black legs keep the profile grounded. Recline with power, find a comfortable angle, and let the living room feel composed, open, and ready for the hours you keep to yourself.","124""w x 40""d x 38""h",298.1,coasterfurniture.com listed,"Black legs add contrast and keep the silhouette consistent across modular arrangements | Fabric upholstery in 100% polyester coordinates easily with transitional room styling | Foam cushioning keeps seating supportive while the profile stays neat and modern | Grey modular power sofa brings reclining comfort with a clean, grounded presence | Plywood and engineered wood frame with metal and plastic reinforcement supports use | Power reclining adjusts smoothly to support relaxed conversation and nightly unwinding",14,609561P-1.jpg,https://www.coasterfurniture.com/furniture/category/Sofas/Collins-Power-Reclining-Sofa/610361P
610361P,Collins Modular Power Sofa Black,Sofas,Power Reclining Sofa,,"Modular power sofa settles into the room with a quieter kind of comfort, inviting you to pause as the evening light shifts. Fabric upholstery and foam cushioning rest on plywood and engineered wood construction, reinforced with metal and plastic for daily support. Black legs keep the profile grounded. Recline with power, find a comfortable angle, and let the living room feel composed, open, and ready for the hours you keep to yourself.","124""w x 40""d x 38""h",298.1,coasterfurniture.com listed,"Black legs add contrast and keep the silhouette consistent across modular arrangements | Black modular power sofa brings reclining comfort with a clean, grounded presence | Corduroy upholstery in 100% polyester layers easily into contemporary room styling | Foam cushioning keeps seating supportive while the profile stays neat and modern | Plywood and engineered wood frame with metal and plastic reinforcement supports use | Power reclining adjusts smoothly to support relaxed conversation and nightly unwinding",12,610361P-1.jpg,https://www.coasterfurniture.com/furniture/category/Sofas/Collins-Power-Reclining-Sofa/610361P
504971,Isabella Fabric Upholstered Sofa Sand,Sofas,Sofa,Sand,"Stationary sofa brings a rounded contemporary silhouette to the living room with smooth curves, sloped arms, and a softly sculpted profile. The tight back and broad bench-style seat keep the look clean and composed while supporting everyday lounging. Black legs add contrast beneath the low frame, and durable wood construction with foam and premium fill cushioning creates a comfortable seat for conversation areas, family rooms, and open-plan spaces.","90""w x 42""d x 32.5""h",134.2,coasterfurniture.com listed,"Sand sofa features a rounded silhouette with sloped arms and a clean low profile | Tight back and broad bench seat keep the look tailored and visually composed | Smooth fabric upholstery softens the sculpted frame with an inviting finish | Foam and premium fill cushioning supports everyday lounging, reading, and casual conversation | Black legs add crisp contrast and subtle lift beneath the curved silhouette | Durable wood construction reinforces reliable comfort for daily living room use",12,504971-1.jpg,https://www.coasterfurniture.com/furniture/category/Sofas/Isabella-Sofa/504971
509871,Isabella Faux Sheepskin Upholstered Sofa Natural,Sofas,Sofa,Ivory,"Stationary sofa brings a rounded contemporary silhouette to the living room with smooth curves, sloped arms, and a softly sculpted profile. The tight back and broad bench-style seat keep the look clean and composed while supporting everyday lounging. Black legs add contrast beneath the low frame, and durable wood construction with foam cushioning creates a comfortable seat for conversation areas, family rooms, and open-plan spaces.","90""w x 42""d x 32.5""h",134.2,coasterfurniture.com listed,"Faux sheepskin upholstery adds soft texture to the sculpted contemporary frame | Foam cushioning supports everyday lounging, reading, and casual conversation | Ivory faux sheepskin sofa features a rounded silhouette with sloped arms and scale | Tight back and broad bench seat keep the look tailored and visually composed | Black legs add crisp contrast and subtle lift beneath the curved silhouette | Durable wood construction reinforces reliable comfort for daily living room use",11,509871-1.jpg,https://www.coasterfurniture.com/furniture/category/Sofas/Isabella-Sofa/504971
610241,Camila Upholstered Motion Reclining Sofa Red,Sofas,Motion Sofa,Red,"Motion reclining sofa brings plush seating and tailored structure to living rooms, family rooms, and media spaces. Structured backs, padded pillow arms, and channeled seat styling create a composed silhouette that still feels relaxed for everyday lounging. Leatherette upholstery covers foam cushioning over a plywood frame with a metal reclining mechanism, giving the piece smooth manual motion and dependable support. The clean profile suits movie nights, reading, and daily downtime.","85.5""w x 38.25""d x 38""h",192.9,coasterfurniture.com listed,"Manual reclining seats adjust easily for lounging, reading, and movie night comfort | Padded pillow arms add comfort while softening the transitional sofa silhouette | Plywood frame and metal mechanism support dependable everyday reclining use | Red reclining sofa features smooth leatherette upholstery and plush supportive seating | Red upholstery adds bold warmth and character to family rooms and media spaces | Structured backs and channeled cushions keep the profile tailored and supportive",12,610241-1.jpg,https://www.coasterfurniture.com/furniture/category/Sofas/Camila-Reclining-Sofa/610247
610244,Camila Upholstered Motion Reclining Sofa Black,Sofas,Motion Sofa,Black,"Motion reclining sofa brings plush seating and tailored structure to living rooms, family rooms, and media spaces. Structured backs, padded pillow arms, and channeled seat styling create a composed silhouette that still feels relaxed for everyday lounging. Leatherette upholstery covers foam cushioning over a plywood frame with a metal reclining mechanism, giving the piece smooth manual motion and dependable support. The clean profile suits movie nights, reading, and daily downtime.","85.5""w x 38.25""d x 38""h",192.9,coasterfurniture.com listed,"Black reclining sofa features smooth leatherette upholstery and plush supportive seating | Black upholstery keeps the look sleek, versatile, and easy to coordinate at home | Manual reclining seats adjust easily for lounging, reading, and movie night comfort | Padded pillow arms add comfort while softening the transitional sofa silhouette | Plywood frame and metal mechanism support dependable everyday reclining use | Structured backs and channeled cushions keep the profile tailored and supportive",12,610244-1.jpg,https://www.coasterfurniture.com/furniture/category/Sofas/Camila-Reclining-Sofa/610247
