ProductCode,ProductName,Category,PieceType,ColorOption,Description,Dimensions,WeightLbs,WeightSource,MainFeatures,ImageCount,MainImage,SourceUrl
950318,Borman 2-door Home Bar Cabinet Wine Storage Walnut and Black,Home Bars & Wine Cabinets,Bar Cabinet,,"Get the party started with a sophisticated bar cabinet that feels just as stylish closed as it does open. Warm walnut-finished mango wood doors and a black case create bold contrast, while checkerboard fronts and geometric pulls add distinctive personality. Inside, generous shelving and storage support wine, glassware, and cocktail essentials, and the silver-finished iron base lifts the whole silhouette with welcome height and lightness.","36""w x 18""d x 63.5""h",157.74,coasterfurniture.com listed,Bar cabinet in walnut and black features bold checkerboard doors | Mango wood doors bring warmth and natural richness to the design | Interior shelves create organized space for wine and bar essentials | Geometric pulls add eye-catching detail to the cabinet front | Silver-finished iron base lifts the cabinet with airy contrast | Sophisticated silhouette suits living rooms dining rooms and lounges,16,950318-1.jpg,https://www.coasterfurniture.com/furniture/category/Home-Bars-%26-Wine-Cabinets/Borman-Bar-Cabinet/950318
182355,Araceli Freestanding LED Home Bar Cabinet White High Gloss,Home Bars & Wine Cabinets,Home Bar,,"Pull out all the stops to bring fresh energy and organization to a casual entertainment space with this modular-inspired home bar. A bright white high gloss finish keeps the look sleek and contemporary, while chrome framing adds geometric edge beneath the generous prep surface. Shelving, glassware storage, and bottle racks keep the center organized, and the color-changing LED strip under the top adds a playful finishing touch.","52.25""w x 21.25""d x 41.5""h",99.42,coasterfurniture.com listed,Home bar in white high gloss features a sleek modular-inspired silhouette | Integrated LED strip changes color beneath the countertop surface | Center shelving and bottle racks keep entertaining essentials organized | Spacious top shelf creates an easy prep surface for drinks and snacks | Chrome framing adds geometric contrast and contemporary character | Compact design transforms casual spaces into fun hosting zones,20,182355-1.jpg,https://www.coasterfurniture.com/furniture/category/Home-Bars-%26-Wine-Cabinets/Araceli-Home-Bar/182355
100139,Keystone Curved Glass Top Home Bar Wine Cabinet Black,Home Bars & Wine Cabinets,Home Bar,,"Entertain in sleek sophistication with this modern home bar, featuring a curved silhouette, chrome accents, and glossy black and white acrylic panels. Dual-tiered frosted glass tops offer ample space for mixing and serving, while the metal footrest invites guests to sit back and enjoy the experience. Designed to impress in any lounge or entertaining space.","60""w x 29.5""d x 44""h",97.99,coasterfurniture.com listed,"Contemporary home bar with a bold black finish and sweeping modern curves | Polished electroplated chrome footrest provides added guest comfort and style | Includes stemware rack and built-in wine racks to hold up to eight bottles | Crafted with durable chrome metal, acrylic panels, and tempered glass | Features sleek frosted and clear glass tops for stylish drink prep and serving | Eye-catching black and white acrylic panels add dramatic visual contrast",9,100139-1.jpg,https://www.coasterfurniture.com/furniture/category/Home-Bars-%26-Wine-Cabinets/Keystone-Home-Bar/100139
182104,Bellemore Freestanding Home Bar Wine Cabinet Rustic Oak,Home Bars & Wine Cabinets,Home Bar,Rustic Oak,"Create a home bar with rustic charm and practical storage built right in. Finished in rustic oak, this freestanding bar features a spacious U-shaped design that invites you to step behind and serve drinks with ease. Six stemware racks, a 12-bottle wine rack, open shelving, and a sturdy footrest make it ready for everything from casual pours to craft cocktail nights, all while bringing warm farmhouse character to the room.","70.75""w x 27.5""d x 43""h",156.2,coasterfurniture.com listed,Twelve-bottle wine rack supports casual pours and cocktail nights | Six stemware racks keep glassware organized and easy to access | Farmhouse-inspired finish brings warm rustic character to the space | Open shelves create room for bottles barware and serving essentials | Home bar in rustic oak features a spacious U-shaped serving design | Attached metal footrest adds comfort for seated entertaining moments,6,182104-1.jpg,https://www.coasterfurniture.com/furniture/category/Home-Bars-%26-Wine-Cabinets/Bellemore-Home-Bar/182104
182105,Bellemore Freestanding Home Bar Wine Cabinet Grey Driftwood,Home Bars & Wine Cabinets,Home Bar,Grey Driftwood,"Create a home bar with rustic charm and practical storage built right in. Finished in grey driftwood, this freestanding bar features a spacious U-shaped design that invites you to step behind and serve drinks with ease. Six stemware racks, a 12-bottle wine rack, open shelving, and a sturdy footrest make it ready for everything from casual pours to craft cocktail nights, all while bringing warm farmhouse character to the room.","70.75""w x 27.5""d x 43""h",156.2,coasterfurniture.com listed,Twelve-bottle wine rack supports casual pours and cocktail nights | Six stemware racks keep glassware organized and easy to access | Farmhouse-inspired finish brings warm rustic character to the space | Open shelves create room for bottles barware and serving essentials | Home bar in grey driftwood features a spacious U-shaped serving design | Attached metal footrest adds comfort for seated entertaining moments,11,182105-1.jpg,https://www.coasterfurniture.com/furniture/category/Home-Bars-%26-Wine-Cabinets/Bellemore-Home-Bar/182104
182852,Arlington Sliding Door Home Bar Wine Cabinet Rustic Oak,Home Bars & Wine Cabinets,Bar Cabinet,,"Bar cabinet blends rustic storage and entertaining function in a compact footprint with a sliding barn door, open shelving, and integrated bottle and stemware organization. Engineered wood construction with laminate veneer pairs with black metal legs for a sturdy mixed-material look that suits farmhouse and lodge-inspired interiors. Use it to store bar essentials, display glassware, and keep bottles organized in dining rooms, living spaces, or casual entertaining areas.","35.5""w x 15.5""d x 41.75""h",77,coasterfurniture.com listed,Open shelves display barware decanters and everyday entertaining essentials | Sliding barn door conceals cabinet space while adding distinctive rustic charm | Adjustable shelving offers flexible interior storage for bottles and accessories | Eight-bottle storage keeps wine organized and easy to access when hosting | Black metal legs add contrast and support to the mixed-material silhouette | Bar cabinet in rustic oak delivers farmhouse character with organized storage,9,182852-1.jpg,https://www.coasterfurniture.com/furniture/category/Home-Bars-%26-Wine-Cabinets/Arlington-Wine-Cabinet/182852
182037,Montara Tempered Glass Wine Storage LED Curio Cabinet Chrome,Home Bars & Wine Cabinets,Bar Cabinet,,"Put the spotlight on your favorite vintages with a wine cabinet that feels bright, airy, and beautifully display-driven. Clear tempered glass panels on all sides keep the presentation open, while chrome hardware and shelving add a sleek contemporary gleam. LED strip lighting operated by a touch switch brings even more focus to the bottles within. Designed to showcase up to 18 bottles, it turns wine storage into a feature.","31.5""w x 11.75""d x 64.25""h",122.47,coasterfurniture.com listed,Wine cabinet in chrome features clear glass panels on all sides | LED strip lighting highlights bottles with bright modern presentation | Chrome hardware and shelving create a sleek contemporary finish | Touch light switch adds easy control for illuminated wine display | Cabinet stores up to 18 bottles in a stylish open presentation | Two glass doors provide access while maintaining airy visibility,19,182037-1.jpg,https://www.coasterfurniture.com/furniture/category/Home-Bars-%26-Wine-Cabinets/Montara-Wine-Cabinet/182037
100165,Prescott Rectangular Home Wine Table Black High Gloss,Home Bars & Wine Cabinets,Home Bar,Black High Gloss,"If you love to entertain, this contemporary bar unit makes it easy to do so with style and convenience. A gloss black finish and chrome accents create a bold, elegant silhouette that stands out in a dining area or recreation room. Two tempered glass shelves offer open display for bottles, glassware, and accessories, while an integrated stemware holder adds practical charm. Its compact footprint makes it an easy fit wherever the party gathers.","47.25""w x 15.75""d x 43.5""h",84.26,coasterfurniture.com listed,Chrome accents sharpen the silhouette with polished contrast | Two tempered glass shelves provide open storage and display space | Gloss black finish creates a bold and elegant visual statement | Smaller footprint suits dining areas rec rooms and lounge corners | Stemware holder adds practical storage for entertaining essentials | Bar shelf in black high gloss features a compact modern profile,9,100165-1.jpg,https://www.coasterfurniture.com/furniture/category/Home-Bars-%26-Wine-Cabinets/Prescott-Home-Bar/100165
182798,Risley 2-door Circular LED Wine Cabinet White High Gloss,Home Bars & Wine Cabinets,Wine Cabinet,White,"Wine cabinet transforms entertaining spaces with a circular silhouette, integrated LED lighting, and a sleek mix of chrome-toned metal and engineered wood. Designed for both display and storage, it includes three bottle tiers that cradle up to 21 bottles, a built-in stemware rack, and a two-door lower cabinet for tucked-away essentials. The illuminated design brings a lively glow to dining rooms and lounges, while the broad top creates a practical surface for glasses, mixers, and serving.","72.5""w x 16.25""d x 75""h",94.07,coasterfurniture.com listed,White wine cabinet with LED lighting creates a bold entertaining centerpiece | Two-door lower cabinet conceals bar tools bottles and hosting essentials | Chrome-finished frame and broad top support drinks mixers and serving pieces | Built-in stemware rack keeps glassware close at hand and neatly displayed | Three bottle tiers cradle up to 21 bottles for organized wine storage | Circular design adds a modern look to dining rooms lounges and bar areas,20,182798-1.jpg,https://www.coasterfurniture.com/furniture/category/Home-Bars-%26-Wine-Cabinets/Risley-Home-Bar/182798
182799,Risley 2-door Circular LED Wine Cabinet Dark Charcoal,Home Bars & Wine Cabinets,Wine Cabinet,Dark Charcoal,"Wine cabinet transforms entertaining spaces with a circular silhouette, integrated LED lighting, and a sleek mix of chrome-toned metal and engineered wood. Designed for both display and storage, it includes three bottle tiers that cradle up to 21 bottles, a built-in stemware rack, and a two-door lower cabinet for tucked-away essentials. The illuminated design brings a lively glow to dining rooms and lounges, while the broad top creates a practical surface for glasses, mixers, and serving.","72.5""w x 16.25""d x 75""h",94.07,coasterfurniture.com listed,Dark charcoal wine cabinet with LED lighting creates a bold centerpiece | Two-door lower cabinet conceals bar tools bottles and hosting essentials | Chrome-finished frame and broad top support drinks mixers and serving pieces | Built-in stemware rack keeps glassware close at hand and neatly displayed | Three bottle tiers cradle up to 21 bottles for organized wine storage | Circular design adds a modern look to dining rooms lounges and bar areas,20,182799-1.jpg,https://www.coasterfurniture.com/furniture/category/Home-Bars-%26-Wine-Cabinets/Risley-Home-Bar/182798
182071,Joe 5-shelf Composite Wood Home Bar Wine Cabinet Aged Oak,Home Bars & Wine Cabinets,Home Bar,,"Serve guests in style with this handsome home bar, designed with a bold rustic profile and generous storage. An aged oak finish brings warmth to the case, while dark gunmetal accents and a front footrest add tailored contrast and everyday comfort. Multiple shelves, stemware storage, and bottle storage help organize entertaining essentials in one compact bar unit.","51""w x 23.5""d x 41""h",124.3,coasterfurniture.com listed,Aged oak finish adds warmth and rustic character to the bold profile | Stemware racks keep glasses organized and ready for serving use | Rustic styling suits farmhouse and casual entertaining spaces alike | Compact bar unit provides practical storage for bottles tools and decor | Home bar features open shelving and bottle storage for entertaining essentials | Dark gunmetal footrest creates contrast and added comfort for guests,6,182071-1.jpg,https://www.coasterfurniture.com/furniture/category/Home-Bars-%26-Wine-Cabinets/Joe-Home-Bar/182071
182757,Gallimore 2-door Bar Cabinet Wine Storage White High Gloss,Home Bars & Wine Cabinets,Bar Cabinet,,"Cool and contemporary, this bar cabinet brings modern elegance to entertaining with a high gloss white finish and gleaming chrome framework. Clear tempered glass shelves keep barware on display, while a stemware rack and 12-bottle wine storage build in the essentials for a complete home bar setup. Behind the two-door cabinet, even more storage keeps the arrangement practical and tidy. Power access at the side adds one more smart convenience to the design.","47.25""w x 16""d x 43""h",88.9,coasterfurniture.com listed,Chrome frame and clear glass shelves create bright modern contrast | Stemware rack and 12-bottle wine storage support entertaining needs | High gloss finish adds crisp polish to dining and bar spaces | Built-in power outlet includes 2 AC and 2 USB-A connections | Bar cabinet in white high gloss features a sleek contemporary profile | Two-door cabinet provides concealed storage for barware and supplies,4,182757-1.jpg,https://www.coasterfurniture.com/furniture/category/Home-Bars-%26-Wine-Cabinets/Gallimore-Bar-Cabinet/182757
130071,Renaldi 3-shelf Home Bar Wine Cabinet Rustic Nutmeg,Home Bars & Wine Cabinets,Home Bar,,"This home bar offers a stylish and functional centerpiece for entertaining guests. Designed with a rustic nutmeg wood-look laminate, it brings a warm, inviting feel to any space. A sturdy dark bronze powder-coated metal frame enhances durability while adding an industrial touch. Three tiers of shelving provide ample storage for bottles and accessories, while four rows of stemware racks keep glassware conveniently within reach. The built-in footrest ensures comfort for guests seated at the bar.","51.25""w x 20.5""d x 41""h",129.43,coasterfurniture.com listed,"Four rows of stemware racks offer easy access and secure organization for wine glasses | Home bar featuring a rustic nutmeg wood-look laminate veneer construction for charm | Built-in footrest ensures added comfort for guests while seated at the bar area | Dark bronze powder-coated metal frame enhances durability with an industrial touch | Three-tier shelving provides ample storage space for bottles, glassware, and bar tools | A stylish and functional centerpiece, perfect for home entertaining and gatherings",11,130071-1.jpg,https://www.coasterfurniture.com/furniture/category/Home-Bars-%26-Wine-Cabinets/Renaldi-Home-Bar/130071
182135-S3,Dallas 3-piece Curved Freestanding Home Bar Cabinet Black,Home Bars & Wine Cabinets,Home Bar 3 Pc,Black,"Presenting plenty of contemporary vibes, this home bar is sleek in every aspect. The black finish and acrylic construction give this piece an upscale look and feel. A rounded design offers storage space on multiple shelving units. Also included on this contemporary bar table are stemware racks to hold plenty of wine glasses. Whether you are entertaining a party of two or many, this contemporary bar table is the right choice for a stylish home.","63""w x 34.75""d x 41.5""h",132,coasterfurniture.com listed,"Features stemware rack and three (3) bottle wine rack | Contemporary bar unit showcases a curved chic design with metal frame in a silver finish | Smoked acrylic panels provide a high-end feel | Two-tier frosted tempered glass tops with two (2) frosted tempered glass shelves | Features 3 units, creating the ultimate bar setup",12,182135-S3-1.jpg,https://www.coasterfurniture.com/furniture/category/Home-Bars-%26-Wine-Cabinets/Dallas-3-piece-Home-Bar/182135-S3
100135-S3,Dallas 3-piece Curved Freestanding Home Bar Cabinet Silver,Home Bars & Wine Cabinets,Home Bar 3 Pc,Silver,"Perfect for the modern entertainer, this three-piece bar set adds visual intrigue and function. Constructed of metal, this bar unit set features a stunning champagne finish and smoked acrylic panels. Connect the three units together for a multi-dimensional bar experience. Display your favorite libations and stow away glassware for easy reach. The frosted tempered glass top and built-in foot rail are perfect for guests, paired with bar stools or on its own.","63""w x 34.75""d x 41.5""h",132,coasterfurniture.com listed,"Features 3 units, creating the ultimate bar setup | Features stemware rack and three (3) bottle wine rack | Contemporary bar unit showcases a curved chic design with metal frame in a silver finish | Smoked acrylic panels provides a high-end feel | Two-tier frosted tempered glass tops with two (2) frosted tempered glass shelves",12,100135-S3-1.jpg,https://www.coasterfurniture.com/furniture/category/Home-Bars-%26-Wine-Cabinets/Dallas-3-piece-Home-Bar/182135-S3
101065,Amarillo Freestanding Glass Top Home Bar Wine Cabinet Black,Home Bars & Wine Cabinets,Home Bar,Black,"Beautifully crafted with high-quality acrylic panels and a clear glass top, this contemporary bar unit lets you entertain in style. Its smooth, curved silhouette gives it an elegant appearance. With a spacious storage area, it leaves plenty of room for all of your bartending needs. A convenient stemware rack completes its convenient appeal. Whether you're hosting a swanky soiree or a casual cocktail hour, this bar unit is ideal for any occasion.","50.75""w x 20""d x 41""h",67.32,coasterfurniture.com listed,"Black tempered glass top and shelf deliver modern contrast and durability | Fixed chrome stemware rack holds glassware within easy reach | Smoked acrylic panels offer a moody, upscale look while enclosing contents | Freestanding home bar with sleek black finish and curved frame silhouette | Integrated shelving provides ample storage for bottles and bar essentials | Crafted from smoked acrylic, tempered glass, engineered wood, and steel",12,101065-1.jpg,https://www.coasterfurniture.com/furniture/category/Home-Bars-%26-Wine-Cabinets/Amarillo-Home-Bar/101066
101066,Amarillo Freestanding Glass Top Home Bar Wine Cabinet White,Home Bars & Wine Cabinets,Home Bar,White,"Upgrade your home entertainment options with this gorgeous, contemporary bar unit. With a convenient wine glass rack and ample storage space, it easily accommodates a wide variety of stemware, bar accessories, and cocktail ingredients. Graceful and glamorous, its curved silhouette is beautifully accentuated with gleaming chrome accents. A large, tempered glass top gives you plenty of prep space to mix delicious drinks for your guests. Complete with clear acrylic panels, this stylish unit allows you to show off your collection of fine wines and spirits in style.","50.75""w x 20""d x 41""h",67.32,coasterfurniture.com listed,"Chrome-finished metal support adds brightness and visual balance | Clear tempered glass top and shelf offer strength and a polished presentation | Freestanding home bar with curved frame and contemporary white finish | Integrated stemware rack and open shelving for barware and bottles | Clear acrylic panels create a sleek enclosure while keeping items visible | Built with acrylic, tempered glass, engineered wood, and chrome-plated steel",14,101066-1.jpg,https://www.coasterfurniture.com/furniture/category/Home-Bars-%26-Wine-Cabinets/Amarillo-Home-Bar/101066
182784,Topanga Engineered Wood Freestanding Home Bar Black,Home Bars & Wine Cabinets,Home Bar,Black,"This home bar combines modern style with functionality, crafted from engineered wood and laminate veneer for a sleek, durable design. Perfect for entertaining, it features a wine bottle grid that holds up to 12 bottles, multiple open shelves for organization, and integrated metal stemware racks for hanging glasses securely. With its versatile storage solutions and sturdy construction, this bar is an ideal addition to any home, keeping your entertaining essentials stylishly organized and accessible.","47.25""w x 23.5""d x 43.5""h",138.4,coasterfurniture.com listed,"Multiple open shelves offer versatile storage for barware and accessories | Integrated metal stemware racks provide convenient glass storage | Wine bottle grid accommodates up to 12 bottles for easy organization | Crafted from engineered wood and laminate veneer for durability | Home bar in a sleek black finish for a bold, modern look | Perfect for creating a cozy, functional bar space in your home",11,182784-1.jpg,https://www.coasterfurniture.com/furniture/category/Home-Bars-%26-Wine-Cabinets/Topanga-Home-Bar/182785
182785,Topanga Engineered Wood Freestanding Home Bar Mango,Home Bars & Wine Cabinets,Home Bar,Mango,"This home bar combines modern style with functionality, crafted from engineered wood and laminate veneer for a sleek, durable design. Perfect for entertaining, it features a wine bottle grid that holds up to 12 bottles, multiple open shelves for organization, and integrated metal stemware racks for hanging glasses securely. With its versatile storage solutions and sturdy construction, this bar is an ideal addition to any home, keeping your entertaining essentials stylishly organized and accessible.","47.25""w x 23.5""d x 43.5""h",138.4,coasterfurniture.com listed,"Home bar in a warm mango finish for a rustic, inviting aesthetic | Wine bottle grid accommodates up to 12 bottles for easy organization | Crafted from engineered wood and laminate veneer for durability | Perfect for creating a cozy, functional bar space in your home | Multiple open shelves offer versatile storage for barware and accessories | Integrated metal stemware racks provide convenient glass storage",11,182785-1.jpg,https://www.coasterfurniture.com/furniture/category/Home-Bars-%26-Wine-Cabinets/Topanga-Home-Bar/182785
